SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismSerial	OrganismID	OrganismName	CommonName	Category	NumberSamples	Habitat	Nocturnality	NumMacula	NumFovea	NumFoveola	GenomeAvailable	AnnotationAvailable	ZoonomiaPresence	Order	Genus	Species	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_Downloaded	SRA_BioSampleID	SRA_ExperimentID	Notes	Life stage	Sex	NocturnalityComments	GenomeAssemblyENSEMBL	GenomeAccessionENSEMBL	GenusAlternativeENSEMBL	GenomeNCBI	GenomeAccessionNCBI	GenomeAssemblyNCBI	GenomeENSEMBL	AnnotationNCBI	AnnotationENSEMBL	GenomeZoonomia	AnnotationZoonomia	ZoonomiaComment	EarlyChordateSet	SpeciesCode	ActualOrganismID	source	gtf_url	cds_url	ReferencePaper	DOI	GenomeAnnotationInRefPaper
Accipiter_cooperii_0	ACCO0	0	Mine	PE	70	Accipiter_cooperii	Accipiter cooperii	Cooper's hawk	Bird	1		Diurnal				Species	Genus	TOGA	Accipitriformes	Accipiter	cooperii	R42019-283						Wild			https://animaldiversity.org/accounts/Accipiter_cooperii/	Accipiter_nisus_ver1.0	GCA_004320145.1	Accipiter nisus	Species	GCF_929443795.1	bAccGen1.1	Genus	Genus	Genus	Genus	Genus	Accipiter gentilis; Accipiter gentilis atricapillus		bacoop							
Lethenteron_camtschaticum_0	LECA0	0	SRA	SE	16	Lethenteron_camtschaticum	Lethenteron camtschaticum	Arctic lamprey	Lamprey	1		Unknown				No	No		Petromyzontiformes	Lethenteron	camtschaticum		PRJDB5164	DRR088844		SAMD00061199	DRX082667		adult	Female					No			No	No	No				x	llcamt					NoReferencePaper		
Chiloscyllium_punctatum_1	CHPU1	1	SRA	PE	21	Chiloscyllium_punctatum	Chiloscyllium punctatum	Brownbanded bamboo shark	Cartilaginous fish	3		Nocturnal				Species	Species		Orectolobiformes	Chiloscyllium	punctatum		PRJDB6260	DRR111719		SAMD00098931	DRX104786		Juvenile		"https://www.thainationalparks.com/species/chiloscyllium-punctatum#:~:text=These%20sharks%20are%20nocturnal%20animals,for%20up%20to%2012%20hrs."				Species	GCA_003427335.1	Cpunctatum_v1.0	No	Species	No				x	ccpunc					NoReferencePaper		
Chiloscyllium_punctatum_0	CHPU0	0	SRA	SE	21	Chiloscyllium_punctatum	Chiloscyllium punctatum	Brownbanded bamboo shark	Cartilaginous fish	3		Nocturnal				Species	Species		Orectolobiformes	Chiloscyllium	punctatum		PRJDB6260	DRR111741	Yes	SAMD00098952	DRX104808		Juvenile		"https://www.thainationalparks.com/species/chiloscyllium-punctatum#:~:text=These%20sharks%20are%20nocturnal%20animals,for%20up%20to%2012%20hrs."				Species	GCA_003427335.1	Cpunctatum_v1.0	No	Species	No				x	ccpunc					NoReferencePaper		
Scyliorhinus_torazame_0	SCTO0	0	SRA	SE	18	Scyliorhinus_torazame	Scyliorhinus torazame	Cloudy catshark	Cartilaginous fish	2		Nocturnal				Species	Species		Carcharhiniformes	Scyliorhinus	torazame		PRJDB6260	DRR111795		SAMD00099004	DRX104862		Adult		https://www.researchgate.net/publication/257644974_Bioaccumulation_of_PCBs_and_DDE_in_cloudy_catshark_Scyliorhinus_torazame_caught_in_four_locations_around_Japan				Species	GCA_003427355.1	Storazame_v1.0	No	Species	No				x	cstora					NoReferencePaper		
Scyliorhinus_torazame_1	SCTO1	1	SRA	SE	18	Scyliorhinus_torazame	Scyliorhinus torazame	Cloudy catshark	Cartilaginous fish	2		Nocturnal				Species	Species		Carcharhiniformes	Scyliorhinus	torazame		PRJDB6260	DRR111817		SAMD00099026	DRX104884		Adult		https://www.researchgate.net/publication/257644974_Bioaccumulation_of_PCBs_and_DDE_in_cloudy_catshark_Scyliorhinus_torazame_caught_in_four_locations_around_Japan				Species	GCA_003427355.1	Storazame_v1.0	No	Species	No				x	cstora					NoReferencePaper		
Alligator_mississippiensis_1	ALMI1	1	Mine	PE	46	Alligator_mississippiensis	Alligator mississippiensis	American alligator	Reptile	2		Both				Species	Species		Crocodilia	Alligator	mississippiensis	R42019-250						Museum							Species	GCF_000281125.3	ASM28112v4	No	Species	No				x	ramiss							
Callithrix_jacchus_0	CAJA0	0	SRA	PE	103	Callithrix_jacchus	Callithrix jacchus	Common marmoset	Mammal	3		Unknown				Species	Species	Species	Primates	Callithrix	jacchus		PRJDB9547	DRR220046		SAMD00213357	DRX210359	almost 4 yo		Male		mCalJac1.pat.X	GCA_011100555.1		Species	GCF_011100555.1	mCalJa1.2.pat.X	Species	Species	Species	Species	Species			mcjacc					NoReferencePaper		
Drosophila_melanogaster_2	DRME2	2	SRA	PE	4	Drosophila_melanogaster	Drosophila melanogaster	Fruit fly	Arthropod	4		Unknown				Species	Species		Diptera	Drosophila	melanogaster		PRJEB22205	ERR2617944		SAMEA4715949	ERX2634551	eye		Female					Species	GCF_000001215.4	Release_6_plus_ISO1_MT	Species	Species	Species				x	admela					Leader_Dow_2018_FlyAtlas2New	https://doi.org/10.1093/nar/gkx976	
Anolis_carolinensis_0	ANCA0	0	Mine	PE	45	Anolis_carolinensis	Anolis carolinensis	Green anole	Reptile	4		Diurnal				Species	Species		Squamata	Anolis	carolinensis	R42019-242						Commercial			https://www.thesprucepets.com/green-anoles-pets-1236900	AnoCar2.0v2	GCA_000090745.2		Species	GCF_000090745.1	AnoCar2.0	Species	Species	Species				x	racaro							
