OrganismShortName	HahnName	SampleID
seaLamprey	Lamprey	seaLamprey_hahn_1
zebrafish	Zebrafish	zebrafish_hahn_1
brownAnole	Lizard	brownAnole_hahn_1
chicken	Chicken	chicken_hahn_1
opossum	Opossum	opossum_hahn_1
pig	Pig	pig_hahn_1
cow	Cow	cow_hahn_1
sheep	Sheep	sheep_hahn_1
ferret	Ferret	ferret_hahn_1
treeShrew	Tree_shrew	treeShrew_hahn_1
groundSquirrel	Squirrel	groundSquirrel_hahn_1
deerMouse	Peromyscus	deerMouse_hahn_1
grassMouse	Rhabdomys	grassMouse_hahn_1
labMouse	Mouse	labMouse_hahn_1
marmoset	Marmoset	marmoset_hahn_1
crabMacaque	Macaque	crabMacaque_hahn_1
human	Human	human_hahn_1
