ShortName	GCFString
hydra	038/396/675/GCF_038396675.1_HydraT2T_AEP/GCF_038396675.1_HydraT2T_AEP
tardigrade	019/649/055/GCF_019649055.1_Prichtersi_v1.0/GCF_019649055.1_Prichtersi_v1.0
octopus	001/194/135/GCF_001194135.2_ASM119413v2/GCF_001194135.2_ASM119413v2
drosophila	000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT/GCF_000001215.4_Release_6_plus_ISO1_MT
plastererBee	013/123/115/GCF_013123115.1_ASM1312311v1/GCF_013123115.1_ASM1312311v1
acornWorm	000/003/605/GCF_000003605.2_Skow_1.1/GCF_000003605.2_Skow_1.1
seaurchin	018/143/015/GCF_018143015.1_Lvar_3.0/GCF_018143015.1_Lvar_3.0
echinoderm	011/630/105/GCF_011630105.1_ASM1163010v1/GCF_011630105.1_ASM1163010v1
amphioxus	035/083/965/GCF_035083965.1_klBraLanc5.hap2/GCF_035083965.1_klBraLanc5.hap2
tunicate	000/224/145/GCF_000224145.3_KH/GCF_000224145.3_KH
seaSquirt	013/122/585/GCF_013122585.1_ASM1312258v2/GCF_013122585.1_ASM1312258v2
hagfish	040/869/285/GCF_040869285.1_UKY_Mglu_1.0/GCF_040869285.1_UKY_Mglu_1.0
lamprey	010/993/605/GCF_010993605.1_kPetMar1.pri/GCF_010993605.1_kPetMar1.pri
shark	021/869/965/GCF_021869965.1_sRhiTyp1.1/GCF_021869965.1_sRhiTyp1.1
gar	040/954/835/GCF_040954835.1_fLepOcu1.hap2/GCF_040954835.1_fLepOcu1.hap2
zebrafish	000/002/035/GCF_000002035.6_GRCz11/GCF_000002035.6_GRCz11
catfish	001/660/625/GCF_001660625.3_Coco_2.0/GCF_001660625.3_Coco_2.0
piranha	015/220/715/GCF_015220715.1_fPygNat1.pri/GCF_015220715.1_fPygNat1.pri
coelacanth	037/176/945/GCF_037176945.1_fLatCha1.pri/GCF_037176945.1_fLatCha1.pri
lungfish	019/279/795/GCF_019279795.1_PAN1.0/GCF_019279795.1_PAN1.0
tinyCaecilian	901/765/095/GCF_901765095.1_aMicUni1.1/GCF_901765095.1_aMicUni1.1
twolinedCaecilian	901/001/135/GCF_901001135.1_aRhiBiv1.1/GCF_901001135.1_aRhiBiv1.1
himalayaFrog	000/935/625/GCF_000935625.1_ASM93562v1/GCF_000935625.1_ASM93562v1
frog	000/004/195/GCF_000004195.4_UCB_Xtro_10.0/GCF_000004195.4_UCB_Xtro_10.0
africanFrog	017/654/675/GCF_017654675.1_Xenopus_laevis_v10.1/GCF_017654675.1_Xenopus_laevis_v10.1
greenTurtle	015/237/465/GCF_015237465.2_rCheMyd1.pri.v2/GCF_015237465.2_rCheMyd1.pri.v2
gecko	001/447/785/GCF_001447785.1_Gekko_japonicus_V1.1/GCF_001447785.1_Gekko_japonicus_V1.1
sandLizard	009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri
dragon	900/067/755/GCF_900067755.1_pvi1.1/GCF_900067755.1_pvi1.1
greenAnole	035/594/765/GCF_035594765.1_rAnoCar3.1.pri/GCF_035594765.1_rAnoCar3.1.pri
brownAnole	037/176/765/GCF_037176765.1_rAnoSag1.mat/GCF_037176765.1_rAnoSag1.mat
snake	001/077/635/GCF_001077635.1_Thamnophis_sirtalis-6.0/GCF_001077635.1_Thamnophis_sirtalis-6.0
python	000/186/305/GCF_000186305.1_Python_molurus_bivittatus-5.0.2/GCF_000186305.1_Python_molurus_bivittatus-5.0.2
alligator	030/867/095/GCF_030867095.1_rAllMis1/GCF_030867095.1_rAllMis1
chineseAlligator	000/455/745/GCF_000455745.1_ASM45574v1/GCF_000455745.1_ASM45574v1
pigeon	036/013/475/GCF_036013475.1_bColLiv1.pat.W.v2/GCF_036013475.1_bColLiv1.pat.W.v2
quail	001/577/835/GCF_001577835.2_Coturnix_japonica_2.1/GCF_001577835.2_Coturnix_japonica_2.1
chicken	016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b
platypus	004/115/215/GCF_004115215.2_mOrnAna1.pri.v4/GCF_004115215.2_mOrnAna1.pri.v4
opossum	027/887/165/GCF_027887165.1_mMonDom1.pri/GCF_027887165.1_mMonDom1.pri
dog	011/100/685/GCF_011100685.1_UU_Cfam_GSD_1.0/GCF_011100685.1_UU_Cfam_GSD_1.0
cow	002/263/795/GCF_002263795.3_ARS-UCD2.0/GCF_002263795.3_ARS-UCD2.0
horse	041/296/265/GCF_041296265.1_TB-T2T/GCF_041296265.1_TB-T2T
groundSquirrel	016/881/025/GCF_016881025.1_HiC_Itri_2/GCF_016881025.1_HiC_Itri_2
sandRat	907/164/565/GCF_907164565.1_mPsaObe1.curated_primary_1811/GCF_907164565.1_mPsaObe1.curated_primary_1811
brownRat	036/323/735/GCF_036323735.1_GRCr8/GCF_036323735.1_GRCr8
mouse	000/001/635/GCF_000001635.27_GRCm39/GCF_000001635.27_GRCm39
marmoset	011/100/555/GCF_011100555.1_mCalJa1.2.pat.X/GCF_011100555.1_mCalJa1.2.pat.X
macaque	037/993/035/GCF_037993035.1_T2T-MFA8v1.0/GCF_037993035.1_T2T-MFA8v1.0
human	000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14
