OrganismShortName	Dataset	SampleID	GSM	SampleCode	BarCode	Feature	Matrix
seaLamprey	hahnscrna17	seaLamprey_hahn_1					
zebrafish	hahnscrna17	zebrafish_hahn_1					
brownAnole	hahnscrna17	brownAnole_hahn_1					
chicken	hahnscrna17	chicken_hahn_1					
opossum	hahnscrna17	opossum_hahn_1					
pig	hahnscrna17	pig_hahn_1					
cow	hahnscrna17	cow_hahn_1					
sheep	hahnscrna17	sheep_hahn_1					
ferret	hahnscrna17	ferret_hahn_1					
treeShrew	hahnscrna17	treeShrew_hahn_1					
groundSquirrel	hahnscrna17	groundSquirrel_hahn_1					
deerMouse	hahnscrna17	deerMouse_hahn_1					
grassMouse	hahnscrna17	grassMouse_hahn_1					
labMouse	hahnscrna17	labMouse_hahn_1					
marmoset	hahnscrna17	marmoset_hahn_1					
crabMacaque	hahnscrna17	crabMacaque_hahn_1					
human	hahnscrna17	human_hahn_1					
grassCarp	liscrna24	grassCarp_li_1	GSM8246601	Ctenopharyngodon_idella	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246601&format=file&file=GSM8246601%5FCtenopharyngodon%5Fidella%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246601&format=file&file=GSM8246601%5FCtenopharyngodon%5Fidella%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246601&format=file&file=GSM8246601%5FCtenopharyngodon%5Fidella%5Fmatrix%2Emtx%2Egz
snakeheadFish	liscrna24	snakeheadFish_li_1	GSM8246604	Channa_argus	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246604&format=file&file=GSM8246604%5FChanna%5Fargus%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246604&format=file&file=GSM8246604%5FChanna%5Fargus%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246604&format=file&file=GSM8246604%5FChanna%5Fargus%5Fmatrix%2Emtx%2Egz
tilapia	liscrna24	tilapia_li_1	GSM8246594	Tilapia	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246594&format=file&file=GSM8246594%5FTilapia%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246594&format=file&file=GSM8246594%5FTilapia%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246594&format=file&file=GSM8246594%5FTilapia%5Fmatrix%2Emtx%2Egz
axolotl	liscrna24	axolotl_li_1	GSM8246586	Axolotl	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246586&format=file&file=GSM8246586%5FAxolotl%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246586&format=file&file=GSM8246586%5FAxolotl%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246586&format=file&file=GSM8246586%5FAxolotl%5Fmatrix%2Emtx%2Egz
beardedDragon	liscrna24	beardedDragon_li_1	GSM8246591	Lizard	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246591&format=file&file=GSM8246591%5FLizard%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246591&format=file&file=GSM8246591%5FLizard%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246591&format=file&file=GSM8246591%5FLizard%5Fmatrix%2Emtx%2Egz
cornSnake	liscrna24	cornSnake_li_1	GSM8246609	Pantherophis_guttatus	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246609&format=file&file=GSM8246609%5FPantherophis%5Fguttatus%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246609&format=file&file=GSM8246609%5FPantherophis%5Fguttatus%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246609&format=file&file=GSM8246609%5FPantherophis%5Fguttatus%5Fmatrix%2Emtx%2Egz
redTurtle	liscrna24	redTurtle_li_1	GSM8246595	Trachemys_scripta_elegans	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246595&format=file&file=GSM8246595%5FTrachemys%5Fscripta%5Felegans%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246595&format=file&file=GSM8246595%5FTrachemys%5Fscripta%5Felegans%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246595&format=file&file=GSM8246595%5FTrachemys%5Fscripta%5Felegans%5Fmatrix%2Emtx%2Egz
mallardDuck	liscrna24	mallardDuck_li_1	GSM8246589	Duck	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246589&format=file&file=GSM8246589%5FDuck%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246589&format=file&file=GSM8246589%5FDuck%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246589&format=file&file=GSM8246589%5FDuck%5Fmatrix%2Emtx%2Egz
chicken	liscrna24	chicken_li_1	GSM8246588	Chicken	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246588&format=file&file=GSM8246588%5FChicken%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246588&format=file&file=GSM8246588%5FChicken%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246588&format=file&file=GSM8246588%5FChicken%5Fmatrix%2Emtx%2Egz
budgerigar	liscrna24	budgerigar_li_1	GSM8246605	Melopsittacus_undulatus	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246605&format=file&file=GSM8246605%5FMelopsittacus%5Fundulatus%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246605&format=file&file=GSM8246605%5FMelopsittacus%5Fundulatus%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246605&format=file&file=GSM8246605%5FMelopsittacus%5Fundulatus%5Fmatrix%2Emtx%2Egz
canary	liscrna24	canary_li_1	GSM8246603	Serinus_canaria	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246603&format=file&file=GSM8246603%5FSerinus%5Fcanaria%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246603&format=file&file=GSM8246603%5FSerinus%5Fcanaria%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246603&format=file&file=GSM8246603%5FSerinus%5Fcanaria%5Fmatrix%2Emtx%2Egz
africanHedgehog	liscrna24	africanHedgehog_li_1	GSM8246600	Hedgehog	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246600&format=file&file=GSM8246600%5FHedgehog%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246600&format=file&file=GSM8246600%5FHedgehog%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246600&format=file&file=GSM8246600%5FHedgehog%5Fmatrix%2Emtx%2Egz
pig	liscrna24	pig_li_1	GSM8246593	Pig	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246593&format=file&file=GSM8246593%5FPig%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246593&format=file&file=GSM8246593%5FPig%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246593&format=file&file=GSM8246593%5FPig%5Fmatrix%2Emtx%2Egz
