SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismID	NumberSamples	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_BioSampleID	SRA_ExperimentID	ReferencePaper	DOI
Accipiter_cooperii_0	ACCO0	0	Mine	PE	Accipiter_cooperii	1	R42019-283						
Accipiter_virgatus_0	ACVI0	0	SRA	PE	Accipiter_virgatus	1		PRJNA314290	SRR3203234	SAMN04531382	SRX1612738	NoReferencePaper	
Aegolius_funereus_0	AEFU0	0	SRA	PE	Aegolius_funereus	1		PRJNA497817	SRR8083918	SAMN10266703	SRX4910960	Hoglund_Strandh_2019_OwlsLackUVsensitive	https://doi.org/10.1016/j.visres.2019.02.005
Aegypius_monachus_0	AEMO0	0	SRA	PE	Aegypius_monachus	1		PRJNA314290	SRR3203236	SAMN04531383	SRX1612739	NoReferencePaper	
Alatina_alata_0	ALAL0	0	SRA	PE	Alatina_alata	1		PRJNA312373	SRR3278480	SAMN04569896	SRX1652825	LewisAmes_Collins_2016_NewTranscriptomeTranscriptome	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-2944-3
Alligator_mississippiensis_0	ALMI0	0	SRA	PE	Alligator_mississippiensis	2		PRJNA159843	SRR3208140	SAMN04528913	SRX1616877	StJohn_Ray_2012_SequencingThreeCrocodilian	https://doi.org/10.1186/gb-2012-13-1-415
Alligator_mississippiensis_1	ALMI1	1	Mine	PE	Alligator_mississippiensis	2	R42019-250						
Amia_calva_0	AMCA0	0	SRA	PE	Amia_calva	1		PRJNA292033	SRR2146931	SAMN03960124	SRX1134592	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Andrias_davidianus_0	ANDA0	0	SRA	PE	Andrias_davidianus	1		PRJNA350354	SRR4449169	SAMN05938515	SRX2267620	Geng_Xu_2017_ReferenceGeneSet	https://doi.org/10.1093/gigascience/gix006
Anolis_carolinensis_0	ANCA0	0	Mine	PE	Anolis_carolinensis	4	R42019-242						
Anolis_carolinensis_1	ANCA1	1	Mine	PE	Anolis_carolinensis	4	R42019-243						
Anolis_carolinensis_2	ANCA2	2	Mine	PE	Anolis_carolinensis	4	R42019-241						
Anolis_carolinensis_3	ANCA3	3	SRA	PE	Anolis_carolinensis	4		PRJNA554900	SRR9694548	SAMN12286935	SRX6452868	Schott_Chang_2019_EvolutionarySignaturesPhotoreceptor	doi:10.1111/evo.13810
