OrganismOrder149	ShortName	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	OrganismOrder50	Datasets	annotated50	bulkrna108	hahnscrna17	liscrna24
1	hydra	hydra	Hydra_vulgaris	Swiftwater hydra	Hydra vulgaris	Nonchordates	1	annotated50	Yes	No	No	No
2	jellyfish	jellyfish	Alatina_alata	Sea wasp (Box jellyfish)	Alatina alata	Nonchordates		bulkrna108	No	Yes	No	No
3	scallop	scallop	Mizuhopecten_yessoensis	Yesso scallop	Mizuhopecten yessoensis	Nonchordates		bulkrna108	No	Yes	No	No
4	octopus	octopus	Octopus_bimaculoides	California two-spot octopus	Octopus bimaculoides	Nonchordates	2	"annotated50,bulkrna108"	Yes	Yes	No	No
5	hawaiianSquid	hawaiianSquid	Euprymna_scolopes	Hawaiian bobtail squid	Euprymna scolopes	Nonchordates		bulkrna108	No	Yes	No	No
6	reefSquid	reefSquid	Sepioteuthis_sepioidea	Caribbean reef squid	Sepioteuthis sepioidea	Nonchordates		bulkrna108	No	Yes	No	No
7	tardigrade	tardigrade	Paramacrobiotus_metropolitanus	Tardigrade	Paramacrobiotus metropolitanus	Nonchordates	3	annotated50	Yes	No	No	No
8	spider	spider	Habronattus_gilaensis	Paradise spider	Habronattus gilaensis	Nonchordates		bulkrna108	No	Yes	No	No
9	lobster	lobster	Nephrops_norvegicus	Norway lobster	Nephrops norvegicus	Nonchordates		bulkrna108	No	Yes	No	No
10	drosophila	drosophila	Drosophila_melanogaster	Fruit fly	Drosophila melanogaster	Nonchordates	4	"annotated50,bulkrna108"	Yes	Yes	No	No
11	plastererBee	plastererBee	Colletes_gigas	Plasterer Bee	Colletes gigas	Nonchordates	5	annotated50	Yes	No	No	No
12	acornWorm	acornWorm	Saccoglossus_kowalevskii	Acorn worm	Saccoglossus kowalevskii	Nonchordates	6	annotated50	Yes	No	No	No
13	seaurchin	seaurchin	Lytechinus_variegatus	Green sea urchin	Lytechinus variegatus	Nonchordates	7	annotated50	Yes	No	No	No
14	echinoderm	echinoderm	Anneissia_japonica	Japanese echinoderm	Anneissia japonica	Nonchordates	8	annotated50	Yes	No	No	No
15	amphioxus	amphioxus	Branchiostoma_floridae	Florida lancelet (Amphioxus)	Branchiostoma floridae	Protochordates	9	"annotated50,bulkrna108"	Yes	Yes	No	No
16	tunicate	vaseTunicate	Ciona_intestinalis	Vase tunicate	Ciona intestinalis	Protochordates	10	"annotated50,bulkrna108"	Yes	Yes	No	No
17	seaSquirt	seaSquirt	Styela_clava	Sea squirt	Styela clava	Protochordates	11	annotated50	Yes	No	No	No
18	hagfish	atlanticHagfish	Myxine_glutinosa	Hagfish	Myxine glutinosa	Agnathans (hagfish and lampreys)	12	annotated50	Yes	No	No	No
19	broadgilledHagfish	broadgilledHagfish	Eptatretus_cirrhatus	Broadgilled hagfish	Eptatretus cirrhatus	Agnathans (hagfish and lampreys)		bulkrna108	No	Yes	No	No
20	pouchedLamprey	pouchedLamprey	Geotria_australis	Pouched lamprey	Geotria australis	Agnathans (hagfish and lampreys)		bulkrna108	No	Yes	No	No
21	shortHeadLamprey	shortheadLamprey	Mordacia_mordax	Short-headed lamprey	Mordacia mordax	Agnathans (hagfish and lampreys)		bulkrna108	No	Yes	No	No
22	lamprey	seaLamprey	Petromyzon_marinus	Sea lamprey	Petromyzon marinus	Agnathans (hagfish and lampreys)	13	"annotated50,bulkrna108,hahnscrna17"	Yes	Yes	Yes	No
23	arcticLamprey	arcticLamprey	Lethenteron_camtschaticum	Arctic lamprey	Lethenteron camtschaticum	Agnathans (hagfish and lampreys)		bulkrna108	No	Yes	No	No
24	japaneseLamprey	japaneseLamprey	Lethenteron_japonicum	Japanese lamprey	Lethenteron japonicum	Agnathans (hagfish and lampreys)		bulkrna108	No	Yes	No	No
25	stingray	stingray	Neotrygon_kuhlii	Blue-spotted stingray	Neotrygon kuhlii	Cartilaginous fishes		bulkrna108	No	Yes	No	No
26	catshark	catshark	Scyliorhinus_torazame	Cloudy catshark	Scyliorhinus torazame	Cartilaginous fishes		bulkrna108	No	Yes	No	No
27	reefShark	reefShark	Carcharhinus_amblyrhynchos	Grey reef shark	Carcharhinus amblyrhynchos	Cartilaginous fishes		bulkrna108	No	Yes	No	No
28	bambooShark	bambooShark	Chiloscyllium_punctatum	Brownbanded bamboo shark	Chiloscyllium punctatum	Cartilaginous fishes		bulkrna108	No	Yes	No	No
29	nurseShark	nurseShark	Ginglymostoma_cirratum	Nurse shark	Ginglymostoma cirratum	Cartilaginous fishes		bulkrna108	No	Yes	No	No
30	shark	whaleShark	Rhincodon_typus	Whale shark	Rhincodon typus	Cartilaginous fishes	14	annotated50	Yes	No	No	No
31	bowfin	bowfin	Amia_calva	Bowfin	Amia calva	Non-teleost ray-finned fishes		bulkrna108	No	Yes	No	No
32	gar	spottedGar	Lepisosteus_oculatus	Spotted gar	Lepisosteus oculatus	Non-teleost ray-finned fishes	15	"annotated50,bulkrna108"	Yes	Yes	No	No
33	floridaGar	floridaGar	Lepisosteus_platyrhincus	Florida gar	Lepisosteus platyrhincus	Non-teleost ray-finned fishes		bulkrna108	No	Yes	No	No
34	eel	eel	Gymnothorax_saxicola	Ocellated moray eel	Gymnothorax saxicola	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
35	zebrafish	zebrafish	Danio_rerio	Zebrafish	Danio rerio	Teleost ray-finned fishes	16	"annotated50,bulkrna108,hahnscrna17"	Yes	Yes	Yes	No
36	grassCarp	grassCarp	Ctenopharyngodon_idella	Grass carp	Ctenopharyngodon idella	Teleost ray-finned fishes		liscrna24	No	No	No	Yes
37	catfish	channelCatfish	Ictalurus_punctatus	Channel catfish	Ictalurus punctatus	Teleost ray-finned fishes	17	annotated50	Yes	No	No	No
38	yangtzeCatfish	yangtzeCatfish	Silurus_meridionalis	Yangtze catfish	Silurus meridionalis	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
39	piranha	piranha	Pygocentrus_nattereri	Red-bellied piranha	Pygocentrus nattereri	Teleost ray-finned fishes	18	annotated50	Yes	No	No	No
40	northernPike	northernPike	Esox_lucius	Northern pike	Esox lucius	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
41	lanternFish	lanternFish	Electrona_risso	Electric lantern fish	Electrona risso	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
42	cod	cod	Gadus_morhua	Atlantic cod	Gadus morhua	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
43	tuna	tuna	Thunnus_albacares	Yellowfin tuna	Thunnus albacares	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
44	snakeheadFish	snakeheadFish	Channa_argus	Snakehead fish	Channa argus	Teleost ray-finned fishes		liscrna24	No	No	No	Yes
45	cichlid	cichlid	Archocentrus_centrarchus	Flier cichlid	Archocentrus centrarchus	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
46	tilapia	tilapia	Oreochromis_mossambicus	Mozambique tilapia	Oreochromis mossambicus	Teleost ray-finned fishes		liscrna24	No	No	No	Yes
47	peacockFish	peacockFish	Aulonocara_baenschi	Nkhomo-benga peacock	Aulonocara baenschi	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
