OrganismShortName	OrganismID	SurrogateID	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment
hydra	Hydra_vulgaris		GCF	GCF_038396675.1	HydraT2T_AEP	
flameJellyfish	Rhopilema_esculentum		GCF	GCF_013076305.1	ASM1307630v1	
boxJellyfish	Alatina_alata	Rhopilema_esculentum	GCF Near	GCF_013076305.1	ASM1307630v1	
scallop	Mizuhopecten_yessoensis		GCF	GCF_002113885.1	ASM211388v2	
octopus	Octopus_bimaculoides		GCF	GCF_001194135.2	ASM119413v2	
hawaiianSquid	Euprymna_scolopes	Octopus_bimaculoides	GCA	GCA_024364805.1	ASM2436480v1	
reefSquid	Sepioteuthis_sepioidea	Octopus_bimaculoides	NoGenome			
tardigrade	Paramacrobiotus_metropolitanus		GCF	GCF_019649055.1	Prichtersi_v1.0	
waspSpider	Argiope_bruennichi		GCF	GCF_947563725.1	qqArgBrue1.1	
spider	Habronattus_gilaensis	Argiope_bruennichi	NoGenome			
norwayLobster	Nephrops_norvegicus	Homarus_americanus	GCF Near	GCF_018991925.1	GMGI_Hamer_2.0	
americanLobster	Homarus_americanus		GCF	GCF_018991925.1	GMGI_Hamer_2.0	
drosophila	Drosophila_melanogaster		GCF	GCF_000001215.4	Release_6_plus_ISO1_MT	
plastererBee	Colletes_gigas		GCF	GCF_013123115.1	ASM1312311v1	
acornWorm	Saccoglossus_kowalevskii		GCF	GCF_000003605.2	Skow_1.1	
seaurchin	Lytechinus_variegatus		GCF	GCF_018143015.1	Lvar_3.0	
echinoderm	Anneissia_japonica		GCF	GCF_011630105.1	ASM1163010v1	
amphioxus	Branchiostoma_floridae		GCF	GCF_035083965.1	klBraLanc5.hap2	
vaseTunicate	Ciona_intestinalis		GCF	GCF_000224145.3	KH	
seaSquirt	Styela_clava		GCF	GCF_013122585.1	ASM1312258v2	
atlanticHagfish	Myxine_glutinosa		GCF	GCF_040869285.1	UKY_Mglu_1.0	
broadgilledHagfish	Eptatretus_cirrhatus	Myxine_glutinosa	NoGenome			
pouchedLamprey	Geotria_australis	Petromyzon_marinus	GCA	GCA_036362915.1	kcGeoAust1.1	
shortheadLamprey	Mordacia_mordax	Petromyzon_marinus	GCA	GCA_036362905.1	kcMorMord1.1	
seaLamprey	Petromyzon_marinus		GCF	GCF_048934315.1	UKy_Petmar_22M1.pri1.0	Orig papers used GCF_010993605.1_kPetMar1.pri and GCA_000148955.1_Pmarinus_7.0
fareasternBrookLamprey	Lethenteron_reissneri		GCF	GCF_015708825.1	ASM1570882v1	
arcticLamprey	Lethenteron_camtschaticum	Lethenteron_reissneri	GCF Near	GCF_015708825.1	ASM1570882v1	
bluespottedStingray	Neotrygon_kuhlii	Hemitrygon_akajei	GCF Near	GCF_048418815.1	sHemAka1.3	
redStingray	Hemitrygon_akajei		GCF	GCF_048418815.1	sHemAka1.3	
catshark	Scyliorhinus_torazame		GCF	GCF_047496885.1	sScyTor2.1	
reefShark	Carcharhinus_amblyrhynchos	Scyliorhinus_torazame	GCF Near	GCF_030264375.1	sScyTor2.1	
bambooShark	Chiloscyllium_punctatum		GCF	GCF_047496795.1	sChiPun1.3	
nurseShark	Ginglymostoma_cirratum	Stegostoma_tigrinum	GCF Near	GCF_030684315.1	sSteTig4.hap1	
zebraShark	Stegostoma_tigrinum		GCF	GCF_030684315.1	sSteTig4.hap1	
whaleShark	Rhincodon_typus		GCF	GCF_021869965.1	sRhiTyp1.1	
bowfin	Amia_calva	Lepisosteus_oculatus	GCF Near	GCF_040954835.1	fLepOcu1.hap2	
spottedGar	Lepisosteus_oculatus		GCF	GCF_040954835.1	fLepOcu1.hap2	
floridaGar	Lepisosteus_platyrhincus	Lepisosteus_oculatus	GCF Near	GCF_040954835.1	fLepOcu1.hap2	
americanEel	Anguilla_rostrata		GCF	GCF_018555375.3	ASM1855537v3	
eel	Gymnothorax_saxicola	Anguilla_rostrata	NoGenome			
zebrafish	Danio_rerio		GCF	GCF_000002035.6	GRCz11	
grassCarp	Ctenopharyngodon_idella		GCF	GCF_019924925.1	HZGC01	
channelCatfish	Ictalurus_punctatus		GCF	GCF_001660625.3	Coco_2.0	
yangtzeCatfish	Silurus_meridionalis		GCF	GCF_014805685.1	ASM1480568v1	
piranha	Pygocentrus_nattereri		GCF	GCF_015220715.1	fPygNat1.pri	
northernPike	Esox_lucius		GCF	GCF_011004845.1	fEsoLuc1.pri	
lanternFish	Electrona_risso	Gadus_morhua	NoGenome			
cod	Gadus_morhua		GCF	GCF_902167405.1	gadMor3.0	
tuna	Thunnus_albacares		GCF	GCF_914725855.1	fThuAlb1.1	
snakeheadFish	Channa_argus		GCF	GCF_033026475.1	Channa_argus_male_v1.0	Orig paper used ASM1899790v1
cichlid	Archocentrus_centrarchus	Aulonocara_stuartgranti	GCF Near	GCF_007364275.1	fArcCen1	
tilapia	Oreochromis_mossambicus	Aulonocara_stuartgranti	GCF Near	GCF_007364275.1	fArcCen1	
flavescentPeacockFish	Aulonocara_stuartgranti		GCF	GCF_007364275.1	fArcCen1	
yellowPeacockFish	Aulonocara_baenschi	Aulonocara_stuartgranti	GCF Near	GCF_007364275.1	fArcCen1	
triggerfish	Rhinecanthus_aculeatus	Nelusetta_ayraudi	GCF Near	GCF_046127955.1	CSIRO-AGI_Nayr_v1	
oceanJacket	Nelusetta_ayraudi		GCF	GCF_046127955.1	CSIRO-AGI_Nayr_v1	
giltheadBream	Sparus_aurata		GCF	GCF_900880675.1	fSpaAur1.1	
oldwife	Enoplosus_armatus		GCF	GCF_043641665.1	fEnoArm2.hap1	
bluegill	Lepomis_macrochirus	Enoplosus_armatus	GCF Near	GCF_043641665.1	fEnoArm2.hap1	
coelacanth	Latimeria_chalumnae		GCF	GCF_037176945.1	fLatCha1.pri	
lungfish	Protopterus_annectens		GCF	GCF_019279795.1	PAN1.0	
tinyCaecilian	Microcaecilia_unicolor		GCF	GCF_901765095.1	aMicUni1.1	
twolinedCaecilian	Rhinatrema_bivittatum		GCF	GCF_901001135.1	aRhiBiv1.1	
chineseSalamander	Andrias_davidianus	Ambystoma_mexicanum	GCF Near	GCF_040938575.1	UKY_AmexF1_1	
axolotl	Ambystoma_mexicanum		GCF	GCF_040938575.1	UKY_AmexF1_1	Orig paper used AmbMex60DD
redSalamander	Plethodon_cinereus	Ambystoma_mexicanum	GCF Near	GCF_040938575.1	UKY_AmexF1_1	
himalayaFrog	Nanorana_parkeri		GCF	GCF_000935625.1	ASM93562v1	
westernFrog	Xenopus_tropicalis		GCF	GCF_000004195.4	UCB_Xtro_10.0	
africanFrog	Xenopus_laevis		GCF	GCF_017654675.1	Xenopus_laevis_v10.1	
