OrganismShortName	Datasets	OrganismOrder50	annotated50	bulkrna107	hahnscrna17	liscrna24	near29
hydra	annotated50	1	Yes	No	No	No	No
flameJellyfish	near29		No	No	No	No	Yes
boxJellyfish	bulkrna107		No	Yes	No	No	No
scallop	bulkrna107		No	Yes	No	No	No
octopus	"annotated50,bulkrna107"	2	Yes	Yes	No	No	No
hawaiianSquid	bulkrna107		No	Yes	No	No	No
reefSquid	bulkrna107		No	Yes	No	No	No
tardigrade	annotated50	3	Yes	No	No	No	No
waspSpider	near29		No	No	No	No	Yes
spider	bulkrna107		No	Yes	No	No	No
norwayLobster	bulkrna107		No	Yes	No	No	No
americanLobster	near29		No	No	No	No	Yes
drosophila	"annotated50,bulkrna107"	4	Yes	Yes	No	No	No
plastererBee	annotated50	5	Yes	No	No	No	No
acornWorm	annotated50	6	Yes	No	No	No	No
seaurchin	annotated50	7	Yes	No	No	No	No
echinoderm	annotated50	8	Yes	No	No	No	No
amphioxus	"annotated50,bulkrna107"	9	Yes	Yes	No	No	No
vaseTunicate	"annotated50,bulkrna107"	10	Yes	Yes	No	No	No
seaSquirt	annotated50	11	Yes	No	No	No	No
atlanticHagfish	annotated50	12	Yes	No	No	No	No
broadgilledHagfish	bulkrna107		No	Yes	No	No	No
pouchedLamprey	bulkrna107		No	Yes	No	No	No
shortheadLamprey	bulkrna107		No	Yes	No	No	No
seaLamprey	"annotated50,bulkrna107,hahnscrna17"	13	Yes	Yes	Yes	No	No
fareasternBrookLamprey	near29		No	No	No	No	Yes
arcticLamprey	bulkrna107		No	Yes	No	No	No
bluespottedStingray	bulkrna107		No	Yes	No	No	No
redStingray	near29		No	No	No	No	Yes
catshark	bulkrna107		No	Yes	No	No	No
reefShark	bulkrna107		No	Yes	No	No	No
bambooShark	bulkrna107		No	Yes	No	No	No
nurseShark	bulkrna107		No	Yes	No	No	No
zebraShark	near29		No	No	No	No	Yes
whaleShark	annotated50	14	Yes	No	No	No	No
bowfin	bulkrna107		No	Yes	No	No	No
spottedGar	"annotated50,bulkrna107"	15	Yes	Yes	No	No	No
floridaGar	bulkrna107		No	Yes	No	No	No
americanEel	near29		No	No	No	No	Yes
eel	bulkrna107		No	Yes	No	No	No
zebrafish	"annotated50,bulkrna107,hahnscrna17"	16	Yes	Yes	Yes	No	No
grassCarp	liscrna24		No	No	No	Yes	No
channelCatfish	annotated50	17	Yes	No	No	No	No
yangtzeCatfish	bulkrna107		No	Yes	No	No	No
piranha	annotated50	18	Yes	No	No	No	No
northernPike	bulkrna107		No	Yes	No	No	No
lanternFish	bulkrna107		No	Yes	No	No	No
cod	bulkrna107		No	Yes	No	No	No
tuna	bulkrna107		No	Yes	No	No	No
snakeheadFish	liscrna24		No	No	No	Yes	No
cichlid	bulkrna107		No	Yes	No	No	No
tilapia	liscrna24		No	No	No	Yes	No
flavescentPeacockFish	near29		No	No	No	No	Yes
yellowPeacockFish	bulkrna107		No	Yes	No	No	No
triggerfish	bulkrna107		No	Yes	No	No	No
oceanJacket	near29		No	No	No	No	Yes
giltheadBream	bulkrna107		No	Yes	No	No	No
oldwife	near29		No	No	No	No	Yes
bluegill	bulkrna107		No	Yes	No	No	No
coelacanth	annotated50	19	Yes	No	No	No	No
lungfish	annotated50	20	Yes	No	No	No	No
tinyCaecilian	annotated50	21	Yes	No	No	No	No
twolinedCaecilian	annotated50	22	Yes	No	No	No	No
chineseSalamander	bulkrna107		No	Yes	No	No	No
axolotl	liscrna24		No	No	No	Yes	No
redSalamander	bulkrna107		No	Yes	No	No	No
himalayaFrog	annotated50	23	Yes	No	No	No	No
westernFrog	"annotated50,bulkrna107"	24	Yes	Yes	No	No	No
africanFrog	"annotated50,bulkrna107"	25	Yes	Yes	No	No	No
tokayGecko	bulkrna107		No	Yes	No	No	No
japaneseGecko	annotated50	26	Yes	No	No	No	No
sandLizard	annotated50	27	Yes	No	No	No	No
tawnyDragon	bulkrna107		No	Yes	No	No	No
beardedDragon	"annotated50,liscrna24"	28	Yes	No	No	Yes	No
greenAnole	"annotated50,bulkrna107"	29	Yes	Yes	No	No	No
brownAnole	"annotated50,hahnscrna17"	30	Yes	No	Yes	No	No
python	annotated50	31	Yes	No	No	No	No
groundBoa	near29		No	No	No	No	Yes
cobra	bulkrna107		No	Yes	No	No	No
garterSnake	"annotated50,bulkrna107"	32	Yes	Yes	No	No	No
cornSnake	liscrna24		No	No	No	Yes	No
greenTurtle	annotated50	33	Yes	No	No	No	No
redTurtle	liscrna24		No	No	No	Yes	No
americanAlligator	"annotated50,bulkrna107"	34	Yes	Yes	No	No	No
chineseAlligator	annotated50	35	Yes	No	No	No	No
emu	bulkrna107		No	Yes	No	No	No
ostrich	bulkrna107		No	Yes	No	No	No
mallardDuck	liscrna24		No	No	No	Yes	No
muscovyDuck	bulkrna107		No	Yes	No	No	No
quail	"annotated50,bulkrna107"	36	Yes	Yes	No	No	No
chicken	"annotated50,bulkrna107,hahnscrna17,liscrna24"	37	Yes	Yes	Yes	Yes	No
sunangel	near29		No	No	No	No	Yes
redStreamertail	bulkrna107		No	Yes	No	No	No
blackStreamertail	bulkrna107		No	Yes	No	No	No
hybridStreamertail	bulkrna107		No	Yes	No	No	No
pigeon	"annotated50,bulkrna107"	38	Yes	Yes	No	No	No
kite	bulkrna107		No	Yes	No	No	No
goldenEagle	near29		No	No	No	No	Yes
vulture	bulkrna107		No	Yes	No	No	No
harpyEagle	near29		No	No	No	No	Yes
harrier	bulkrna107		No	Yes	No	No	No
greyfacedBuzzard	bulkrna107		No	Yes	No	No	No
commonBuzzard	near29		No	No	No	No	Yes
redTailHawk	bulkrna107		No	Yes	No	No	No
gosHwak	near29		No	No	No	No	Yes
coopersHawk	bulkrna107		No	Yes	No	No	No
besra	bulkrna107		No	Yes	No	No	No
