OrganismShortName	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	hahnscrna17	liscrna24	near29
hydra	No	annotated50	1	Yes	No	No	No	No
flameJellyfish	No	near29		No	No	No	No	Yes
boxJellyfish	No	bulkrna107		No	Yes	No	No	No
scallop	No	bulkrna107		No	Yes	No	No	No
octopus	No	"annotated50,bulkrna107"	2	Yes	Yes	No	No	No
hawaiianSquid	No	bulkrna107		No	Yes	No	No	No
reefSquid	No	bulkrna107		No	Yes	No	No	No
tardigrade	No	annotated50	3	Yes	No	No	No	No
waspSpider	No	near29		No	No	No	No	Yes
spider	No	bulkrna107		No	Yes	No	No	No
norwayLobster	No	bulkrna107		No	Yes	No	No	No
americanLobster	No	near29		No	No	No	No	Yes
drosophila	Yes	"annotated50,bulkrna107"	4	Yes	Yes	No	No	No
plastererBee	Yes	annotated50	5	Yes	No	No	No	No
acornWorm	Yes	annotated50	6	Yes	No	No	No	No
seaurchin	Yes	annotated50	7	Yes	No	No	No	No
echinoderm	Yes	annotated50	8	Yes	No	No	No	No
amphioxus	Yes	"annotated50,bulkrna107"	9	Yes	Yes	No	No	No
vaseTunicate	Yes	"annotated50,bulkrna107"	10	Yes	Yes	No	No	No
seaSquirt	Yes	annotated50	11	Yes	No	No	No	No
atlanticHagfish	Yes	annotated50	12	Yes	No	No	No	No
inshoreHagfish	Yes	extra		No	No	No	No	No
brownHagfish	Yes	extra		No	No	No	No	No
broadgilledHagfish	Yes	bulkrna107		No	Yes	No	No	No
pouchedLamprey	Yes	bulkrna107		No	Yes	No	No	No
shortheadLamprey	Yes	bulkrna107		No	Yes	No	No	No
seaLamprey	Yes	"annotated50,bulkrna107,hahnscrna17"	13	Yes	Yes	Yes	No	No
europeanRiverLamprey	Yes	extra		No	No	No	No	No
europeanBrookLamprey	Yes	extra		No	No	No	No	No
fareasternBrookLamprey	Yes	near29		No	No	No	No	Yes
arcticLamprey	Yes	bulkrna107		No	Yes	No	No	No
bluespottedStingray	Yes	bulkrna107		No	Yes	No	No	No
redStingray	Yes	near29		No	No	No	No	Yes
catshark	Yes	bulkrna107		No	Yes	No	No	No
reefShark	Yes	bulkrna107		No	Yes	No	No	No
bambooShark	Yes	bulkrna107		No	Yes	No	No	No
nurseShark	Yes	bulkrna107		No	Yes	No	No	No
zebraShark	Yes	near29		No	No	No	No	Yes
whaleShark	Yes	annotated50	14	Yes	No	No	No	No
bowfin	Yes	bulkrna107		No	Yes	No	No	No
spottedGar	Yes	"annotated50,bulkrna107"	15	Yes	Yes	No	No	No
floridaGar	Yes	bulkrna107		No	Yes	No	No	No
americanEel	No	near29		No	No	No	No	Yes
eel	No	bulkrna107		No	Yes	No	No	No
zebrafish	Yes	"annotated50,bulkrna107,hahnscrna17"	16	Yes	Yes	Yes	No	No
grassCarp	Yes	liscrna24		No	No	No	Yes	No
channelCatfish	No	annotated50	17	Yes	No	No	No	No
yangtzeCatfish	No	bulkrna107		No	Yes	No	No	No
piranha	Yes	annotated50	18	Yes	No	No	No	No
northernPike	Yes	bulkrna107		No	Yes	No	No	No
lanternFish	No	bulkrna107		No	Yes	No	No	No
cod	Yes	bulkrna107		No	Yes	No	No	No
tuna	Yes	bulkrna107		No	Yes	No	No	No
snakeheadFish	Yes	liscrna24		No	No	No	Yes	No
cichlid	No	bulkrna107		No	Yes	No	No	No
tilapia	No	liscrna24		No	No	No	Yes	No
flavescentPeacockFish	Yes	near29		No	No	No	No	Yes
yellowPeacockFish	No	bulkrna107		No	Yes	No	No	No
triggerfish	No	bulkrna107		No	Yes	No	No	No
oceanJacket	Yes	near29		No	No	No	No	Yes
giltheadBream	No	bulkrna107		No	Yes	No	No	No
oldwife	Yes	near29		No	No	No	No	Yes
bluegill	No	bulkrna107		No	Yes	No	No	No
coelacanth	Yes	annotated50	19	Yes	No	No	No	No
lungfish	Yes	annotated50	20	Yes	No	No	No	No
tinyCaecilian	Yes	annotated50	21	Yes	No	No	No	No
twolinedCaecilian	Yes	annotated50	22	Yes	No	No	No	No
chineseSalamander	Yes	bulkrna107		No	Yes	No	No	No
axolotl	Yes	liscrna24		No	No	No	Yes	No
redSalamander	Yes	bulkrna107		No	Yes	No	No	No
himalayaFrog	Yes	annotated50	23	Yes	No	No	No	No
westernFrog	Yes	"annotated50,bulkrna107"	24	Yes	Yes	No	No	No
africanFrog	Yes	"annotated50,bulkrna107"	25	Yes	Yes	No	No	No
tokayGecko	Yes	bulkrna107		No	Yes	No	No	No
japaneseGecko	Yes	annotated50	26	Yes	No	No	No	No
