OrganismShortName	Representative
hydra	No
flameJellyfish	No
boxJellyfish	No
scallop	No
octopus	No
hawaiianSquid	No
reefSquid	No
tardigrade	No
waspSpider	No
spider	No
norwayLobster	No
americanLobster	No
drosophila	Yes
plastererBee	Yes
acornWorm	Yes
seaurchin	Yes
echinoderm	Yes
amphioxus	Yes
vaseTunicate	Yes
seaSquirt	Yes
atlanticHagfish	Yes
inshoreHagfish	Yes
brownHagfish	Yes
broadgilledHagfish	Yes
pouchedLamprey	Yes
shortheadLamprey	Yes
seaLamprey	Yes
europeanRiverLamprey	Yes
europeanBrookLamprey	Yes
fareasternBrookLamprey	Yes
arcticLamprey	Yes
bluespottedStingray	Yes
redStingray	Yes
catshark	Yes
reefShark	Yes
bambooShark	Yes
nurseShark	Yes
zebraShark	Yes
whaleShark	Yes
bowfin	Yes
spottedGar	Yes
floridaGar	Yes
americanEel	No
eel	No
zebrafish	Yes
grassCarp	Yes
channelCatfish	No
yangtzeCatfish	No
piranha	Yes
northernPike	Yes
lanternFish	No
cod	Yes
tuna	Yes
snakeheadFish	Yes
cichlid	No
tilapia	No
flavescentPeacockFish	Yes
yellowPeacockFish	No
triggerfish	No
oceanJacket	Yes
giltheadBream	No
oldwife	Yes
bluegill	No
coelacanth	Yes
lungfish	Yes
tinyCaecilian	Yes
twolinedCaecilian	Yes
chineseSalamander	Yes
axolotl	Yes
redSalamander	Yes
himalayaFrog	Yes
westernFrog	Yes
africanFrog	Yes
tokayGecko	Yes
japaneseGecko	Yes
sandLizard	Yes
tawnyDragon	Yes
beardedDragon	Yes
greenAnole	Yes
brownAnole	Yes
python	Yes
groundBoa	Yes
cobra	No
garterSnake	Yes
cornSnake	Yes
greenTurtle	Yes
redTurtle	Yes
americanAlligator	Yes
chineseAlligator	Yes
emu	Yes
ostrich	No
mallardDuck	Yes
muscovyDuck	No
quail	Yes
chicken	Yes
sunangel	No
redStreamertail	No
blackStreamertail	No
hybridStreamertail	No
pigeon	Yes
kite	No
goldenEagle	Yes
vulture	No
harpyEagle	No
harrier	No
greyfacedBuzzard	No
commonBuzzard	No
redTailHawk	No
gosHwak	No
coopersHawk	No
besra	No
sparrowHawk	Yes
barnOwl	Yes
grassOwl	No
borealOwl	No
littleOwl	No
orientalScopsOwl	No
eurasianScopsOwl	No
indianScopsOwl	No
shortearOwl	No
longearOwl	No
screechOwl	No
barredOwl	No
uralOwl	No
tawnyOwl	No
eagleOwl	No
hornedOwl	No
mousebird	No
hoopoe	No
honeyguide	No
woodpecker	No
budgerigar	Yes
commonKestrel	No
peregrineFalcon	No
eurasianHobby	No
hawaiianCrow	No
carrionCrow	No
hoodedCrow	No
whiteWagtail	No
canary	No
zebrafinch	Yes
platypus	Yes
opossum	Yes
europeanHedgehog	No
africanHedgehog	No
sacwingedBat	No
tombBat	No
daubentonBat	No
myotisBat	No
roundleafBat	Yes
fruitBat	No
egyptianBat	No
nectarBat	No
horse	Yes
pig	No
minkeWhale	No
bowheadWhale	No
cow	Yes
sheep	No
cat	No
dog	Yes
ferret	No
guineapig	No
groundSquirrel	No
chipmunk	No
blindMoleRat	No
zokor	No
hamster	No
deerMouse	No
gerbil	No
sandRat	Yes
brownRat	No
grassMouse	No
labMouse	Yes
treeShrew	No
marmoset	Yes
nancymaMonkey	No
oliveBaboon	No
crabMacaque	Yes
rhesusMacaque	No
human	Yes
