OrganismOrder181	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	scrna35	hahnscrna17	liscrna24	near29	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment	SurrogateID	SurrogateShortName	SurrogateAnnotationSource	SurrogateAnnotationRelease	SurrogateAnnotationName
1	hydra	Hydra_vulgaris	Swiftwater hydra	Hydra vulgaris	Nonchordates	No	No	annotated50	1.0	Yes	No	No	No	No	No	GCF	GCF_038396675.1	HydraT2T_AEP		Hydra_vulgaris	hydra	GCF	GCF_038396675.1	HydraT2T_AEP
2	flameJellyfish	Rhopilema_esculentum	Flame jellyfish	Rhopilema esculentum	Nonchordates	No	No	near29		No	No	No	No	No	Yes	GCF	GCF_013076305.1	ASM1307630v1		Rhopilema_esculentum	flameJellyfish	GCF	GCF_013076305.1	ASM1307630v1
3	boxJellyfish	Alatina_alata	Sea wasp (Box jellyfish)	Alatina alata	Nonchordates	No	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_013076305.1	ASM1307630v1		Rhopilema_esculentum	flameJellyfish	GCF	GCF_013076305.1	ASM1307630v1
4	scallop	Mizuhopecten_yessoensis	Yesso scallop	Mizuhopecten yessoensis	Nonchordates	No	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_002113885.1	ASM211388v2		Mizuhopecten_yessoensis	scallop	GCF	GCF_002113885.1	ASM211388v2
5	octopus	Octopus_bimaculoides	California two-spot octopus	Octopus bimaculoides	Nonchordates	No	No	annotated50,bulkrna107	2.0	Yes	Yes	No	No	No	No	GCF	GCF_001194135.2	ASM119413v2		Octopus_bimaculoides	octopus	GCF	GCF_001194135.2	ASM119413v2
6	hawaiianSquid	Euprymna_scolopes	Hawaiian bobtail squid	Euprymna scolopes	Nonchordates	No	No	bulkrna107		No	Yes	No	No	No	No	GCA	GCA_024364805.1	ASM2436480v1		Octopus_bimaculoides	octopus	GCF	GCF_001194135.2	ASM119413v2
7	reefSquid	Sepioteuthis_sepioidea	Caribbean reef squid	Sepioteuthis sepioidea	Nonchordates	No	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Octopus_bimaculoides	octopus	GCF	GCF_001194135.2	ASM119413v2
8	tardigrade	Paramacrobiotus_metropolitanus	Tardigrade	Paramacrobiotus metropolitanus	Nonchordates	No	No	annotated50	3.0	Yes	No	No	No	No	No	GCF	GCF_019649055.1	Prichtersi_v1.0		Paramacrobiotus_metropolitanus	tardigrade	GCF	GCF_019649055.1	Prichtersi_v1.0
9	waspSpider	Argiope_bruennichi	Wasp spider	Argiope bruennichi	Nonchordates	No	No	near29		No	No	No	No	No	Yes	GCF	GCF_947563725.1	qqArgBrue1.1		Argiope_bruennichi	waspSpider	GCF	GCF_947563725.1	qqArgBrue1.1
10	spider	Habronattus_gilaensis	Paradise spider	Habronattus gilaensis	Nonchordates	No	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Argiope_bruennichi	waspSpider	GCF	GCF_947563725.1	qqArgBrue1.1
11	norwayLobster	Nephrops_norvegicus	Norway lobster	Nephrops norvegicus	Nonchordates	No	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_018991925.1	GMGI_Hamer_2.0		Homarus_americanus	americanLobster	GCF	GCF_018991925.1	GMGI_Hamer_2.0
12	americanLobster	Homarus_americanus	American lobster	Homarus americanus	Nonchordates	No	No	near29		No	No	No	No	No	Yes	GCF	GCF_018991925.1	GMGI_Hamer_2.0		Homarus_americanus	americanLobster	GCF	GCF_018991925.1	GMGI_Hamer_2.0
13	drosophila	Drosophila_melanogaster	Fruit fly	Drosophila melanogaster	Nonchordates	No	Yes	annotated50,bulkrna107	4.0	Yes	Yes	No	No	No	No	GCF	GCF_000001215.4	Release_6_plus_ISO1_MT		Drosophila_melanogaster	drosophila	GCF	GCF_000001215.4	Release_6_plus_ISO1_MT
14	plastererBee	Colletes_gigas	Plasterer Bee	Colletes gigas	Nonchordates	No	Yes	annotated50	5.0	Yes	No	No	No	No	No	GCF	GCF_013123115.1	ASM1312311v1		Colletes_gigas	plastererBee	GCF	GCF_013123115.1	ASM1312311v1
15	acornWorm	Saccoglossus_kowalevskii	Acorn worm	Saccoglossus kowalevskii	Nonchordates	No	Yes	annotated50	6.0	Yes	No	No	No	No	No	GCF	GCF_000003605.2	Skow_1.1		Saccoglossus_kowalevskii	acornWorm	GCF	GCF_000003605.2	Skow_1.1
16	seaurchin	Lytechinus_variegatus	Green sea urchin	Lytechinus variegatus	Nonchordates	No	Yes	annotated50	7.0	Yes	No	No	No	No	No	GCF	GCF_018143015.1	Lvar_3.0		Lytechinus_variegatus	seaurchin	GCF	GCF_018143015.1	Lvar_3.0
17	echinoderm	Anneissia_japonica	Japanese echinoderm	Anneissia japonica	Nonchordates	No	Yes	annotated50	8.0	Yes	No	No	No	No	No	GCF	GCF_011630105.1	ASM1163010v1		Anneissia_japonica	echinoderm	GCF	GCF_011630105.1	ASM1163010v1
18	amphioxus	Branchiostoma_floridae	Florida lancelet (Amphioxus)	Branchiostoma floridae	Protochordates	No	Yes	annotated50,bulkrna107	9.0	Yes	Yes	No	No	No	No	GCF	GCF_035083965.1	klBraLanc5.hap2		Branchiostoma_floridae	amphioxus	GCF	GCF_035083965.1	klBraLanc5.hap2
19	vaseTunicate	Ciona_intestinalis	Vase tunicate	Ciona intestinalis	Protochordates	No	Yes	annotated50,bulkrna107	10.0	Yes	Yes	No	No	No	No	GCF	GCF_000224145.3	KH		Ciona_intestinalis	vaseTunicate	GCF	GCF_000224145.3	KH
20	seaSquirt	Styela_clava	Sea squirt	Styela clava	Protochordates	No	Yes	annotated50	11.0	Yes	No	No	No	No	No	GCF	GCF_013122585.1	ASM1312258v2		Styela_clava	seaSquirt	GCF	GCF_013122585.1	ASM1312258v2
21	atlanticHagfish	Myxine_glutinosa	Hagfish	Myxine glutinosa	Agnathans (hagfish and lampreys)	Yes	Yes	annotated50	12.0	Yes	No	No	No	No	No	GCF	GCF_040869285.1	UKY_Mglu_1.0		Myxine_glutinosa	atlanticHagfish	GCF	GCF_040869285.1	UKY_Mglu_1.0
22	inshoreHagfish	Eptatretus_burgeri	Inshore Hagfish	Eptatretus burgeri	Agnathans (hagfish and lampreys)	Yes	Yes	extra		No	No	No	No	No	No	Ensembl	GCA_000001405.14	Eburgeri_3.2		Eptatretus_burgeri	inshoreHagfish	Ensembl	GCA_000001405.14	Eburgeri_3.2
23	brownHagfish	Eptatretus_atami	Brown Hagfish	Eptatretus atami	Agnathans (hagfish and lampreys)	Yes	Yes	extra		No	No	No	No	No	No	Custom				Eptatretus_atami	brownHagfish	Custom		
