OrganismShortName	OrganismID
hydra	Hydra_vulgaris
flameJellyfish	Rhopilema_esculentum
boxJellyfish	Alatina_alata
scallop	Mizuhopecten_yessoensis
octopus	Octopus_bimaculoides
hawaiianSquid	Euprymna_scolopes
reefSquid	Sepioteuthis_sepioidea
tardigrade	Paramacrobiotus_metropolitanus
spider	Habronattus_gilaensis
norwayLobster	Nephrops_norvegicus
americanLobster	Homarus_americanus
drosophila	Drosophila_melanogaster
plastererBee	Colletes_gigas
acornWorm	Saccoglossus_kowalevskii
seaurchin	Lytechinus_variegatus
echinoderm	Anneissia_japonica
amphioxus	Branchiostoma_floridae
vaseTunicate	Ciona_intestinalis
seaSquirt	Styela_clava
atlanticHagfish	Myxine_glutinosa
broadgilledHagfish	Eptatretus_cirrhatus
pouchedLamprey	Geotria_australis
shortheadLamprey	Mordacia_mordax
seaLamprey	Petromyzon_marinus
fareasternBrookLamprey	Lethenteron_reissneri
arcticLamprey	Lethenteron_camtschaticum
bluespottedStingray	Neotrygon_kuhlii
redStingray	Hemitrygon_akajei
catshark	Scyliorhinus_torazame
reefShark	Carcharhinus_amblyrhynchos
bambooShark	Chiloscyllium_punctatum
nurseShark	Ginglymostoma_cirratum
zebraShark	Stegostoma_tigrinum
whaleShark	Rhincodon_typus
bowfin	Amia_calva
spottedGar	Lepisosteus_oculatus
floridaGar	Lepisosteus_platyrhincus
eel	Gymnothorax_saxicola
zebrafish	Danio_rerio
grassCarp	Ctenopharyngodon_idella
channelCatfish	Ictalurus_punctatus
yangtzeCatfish	Silurus_meridionalis
piranha	Pygocentrus_nattereri
northernPike	Esox_lucius
lanternFish	Electrona_risso
cod	Gadus_morhua
tuna	Thunnus_albacares
snakeheadFish	Channa_argus
cichlid	Archocentrus_centrarchus
tilapia	Oreochromis_mossambicus
flavescentPeacockFish	Aulonocara_stuartgranti
yellowPeacockFish	Aulonocara_baenschi
triggerfish	Rhinecanthus_aculeatus
oceanJacket	Nelusetta_ayraudi
giltheadBream	Sparus_aurata
oldwife	Enoplosus_armatus
bluegill	Lepomis_macrochirus
coelacanth	Latimeria_chalumnae
lungfish	Protopterus_annectens
tinyCaecilian	Microcaecilia_unicolor
twolinedCaecilian	Rhinatrema_bivittatum
chineseSalamander	Andrias_davidianus
axolotl	Ambystoma_mexicanum
redSalamander	Plethodon_cinereus
himalayaFrog	Nanorana_parkeri
westernFrog	Xenopus_tropicalis
africanFrog	Xenopus_laevis
