ProteinID	TPM_max
boxJellyfish__Unknown__TRINITY_DN10265_c0_g6_i2.p1	14.011505
boxJellyfish__Unknown__TRINITY_DN17724_c0_g2_i1.p1	2.847381
boxJellyfish__Unknown__TRINITY_DN1802_c0_g1_i7.p1	7.100104
boxJellyfish__Unknown__TRINITY_DN3609_c0_g1_i1.p1	4.376635
boxJellyfish__Unknown__TRINITY_DN4364_c0_g1_i7.p1	2.345905
boxJellyfish__Unknown__TRINITY_DN5166_c0_g1_i2.p1	25.614781
boxJellyfish__Unknown__TRINITY_DN8681_c0_g1_i2.p1	2.843673
boxJellyfish__Unknown__TRINITY_DN92178_c0_g1_i1.p1	2.298083
boxJellyfish__Unknown__TRINITY_DN15278_c1_g1_i2.p1	4.537729
boxJellyfish__Unknown__TRINITY_DN28307_c0_g1_i1.p1	1.848518
boxJellyfish__Unknown__TRINITY_DN3089_c0_g1_i1.p1	6.127032
boxJellyfish__Unknown__TRINITY_DN35139_c0_g2_i1.p1	3.430091
boxJellyfish__Unknown__TRINITY_DN4234_c0_g1_i4.p1	10.96691
boxJellyfish__Unknown__TRINITY_DN82393_c0_g1_i1.p1	5.94655
boxJellyfish__Unknown__TRINITY_DN1602_c0_g1_i1.p1	78.990885
boxJellyfish__Unknown__TRINITY_DN1602_c0_g1_i1.p1	78.990885
boxJellyfish__Unknown__TRINITY_DN2902_c0_g1_i2.p2	9.420684
boxJellyfish__Unknown__TRINITY_DN2902_c0_g1_i2.p2	9.420684
boxJellyfish__Unknown__TRINITY_DN24888_c0_g1_i2.p1	2.725653
boxJellyfish__Unknown__TRINITY_DN18052_c0_g1_i2.p1	2.333168
scallop__Unknown__TRINITY_DN10498_c0_g1_i1.p1	12.711414
scallop__Unknown__TRINITY_DN10709_c0_g1_i8.p1	1.841181
scallop__Unknown__TRINITY_DN12990_c0_g1_i6.p1	6.291946
scallop__Unknown__TRINITY_DN13763_c0_g1_i2.p1	3.448483
scallop__Unknown__TRINITY_DN1790_c1_g1_i7.p1	5.217902
scallop__Unknown__TRINITY_DN21274_c0_g1_i1.p1	1.443793
scallop__Unknown__TRINITY_DN26367_c0_g1_i1.p1	1.702351
scallop__Unknown__TRINITY_DN26367_c0_g2_i1.p1	2.407019
scallop__Unknown__TRINITY_DN26968_c0_g1_i7.p1	7.193036
scallop__Unknown__TRINITY_DN4157_c2_g1_i1.p1	17.782449
scallop__Unknown__TRINITY_DN5433_c1_g1_i2.p1	8.58079
scallop__Unknown__TRINITY_DN56694_c0_g1_i1.p1	3.798227
scallop__Unknown__TRINITY_DN7219_c0_g1_i4.p1	8.723386
scallop__Unknown__TRINITY_DN84685_c0_g1_i1.p1	3.604868
scallop__Unknown__TRINITY_DN87809_c0_g1_i1.p1	17.138842
scallop__Unknown__TRINITY_DN8876_c3_g1_i1.p1	4.56612
scallop__Unknown__TRINITY_DN657_c0_g1_i1.p1	35.813028
scallop__Unknown__TRINITY_DN657_c0_g1_i1.p1	35.813028
scallop__Unknown__TRINITY_DN657_c0_g2_i1.p1	35.813028
scallop__Unknown__TRINITY_DN657_c0_g2_i1.p1	35.813028
scallop__Unknown__TRINITY_DN8509_c0_g1_i1.p1	63.838157
scallop__Unknown__TRINITY_DN8509_c0_g1_i1.p1	63.838157
scallop__Unknown__TRINITY_DN4672_c0_g1_i3.p1	14.193798
octopus__Unknown__TRINITY_DN4848_c0_g1_i2.p1	16.939287
octopus__Unknown__TRINITY_DN59354_c0_g1_i1.p1	3.352959
octopus__Unknown__TRINITY_DN11527_c0_g2_i1.p1	1.760317
octopus__Unknown__TRINITY_DN7217_c0_g1_i1.p1	29.259428
octopus__Unknown__TRINITY_DN7217_c0_g2_i2.p1	2.120096
octopus__Unknown__TRINITY_DN4225_c0_g1_i2.p1	8.243738
octopus__Unknown__TRINITY_DN4225_c0_g1_i2.p1	8.243738
octopus__Unknown__TRINITY_DN5979_c0_g1_i1.p1	4.735863
octopus__Unknown__TRINITY_DN5979_c0_g1_i1.p1	4.735863
hawaiianSquid__Unknown__TRINITY_DN14340_c0_g2_i1.p2	3.81298
hawaiianSquid__Unknown__TRINITY_DN14340_c0_g2_i1.p2	3.81298
hawaiianSquid__Unknown__TRINITY_DN1268_c2_g1_i1.p1	1.831764
hawaiianSquid__Unknown__TRINITY_DN1532_c1_g1_i1.p1	1.318878
hawaiianSquid__Unknown__TRINITY_DN1925_c3_g1_i3.p1	1.762706
reefSquid__Unknown__TRINITY_DN31639_c0_g1_i1.p1	3.065696
spider__Unknown__TRINITY_DN43415_c0_g1_i1.p1	3.909302
spider__Unknown__TRINITY_DN4367_c0_g1_i2.p1	3.777711
spider__Unknown__TRINITY_DN5594_c0_g1_i1.p1	16.472335
spider__Unknown__TRINITY_DN59908_c0_g1_i1.p1	3.708609
spider__Unknown__TRINITY_DN9937_c0_g1_i1.p1	8.923721
spider__Unknown__TRINITY_DN33781_c0_g1_i1.p1	3.155506
spider__Unknown__TRINITY_DN16489_c0_g1_i1.p1	3.012126
spider__Unknown__TRINITY_DN29467_c0_g1_i1.p1	28.287101
spider__Unknown__TRINITY_DN44266_c0_g1_i1.p1	7.715934
norwayLobster__Unknown__TRINITY_DN370_c1_g1_i2.p1	3.756129
norwayLobster__Unknown__TRINITY_DN18427_c2_g2_i5.p1	1.825829
norwayLobster__Unknown__TRINITY_DN29181_c0_g3_i1.p1	1.896965
norwayLobster__Unknown__TRINITY_DN41_c4_g1_i5.p1	2.176967
norwayLobster__Unknown__TRINITY_DN5255_c1_g1_i9.p1	45.938685
norwayLobster__Unknown__TRINITY_DN602_c0_g1_i25.p1	7.542049
norwayLobster__Unknown__TRINITY_DN602_c0_g1_i25.p1	7.542049
norwayLobster__Unknown__TRINITY_DN953_c2_g1_i7.p1	1.527024
norwayLobster__Unknown__TRINITY_DN99258_c0_g1_i1.p1	1.233938
drosophila__Unknown__TRINITY_DN284_c0_g1_i5.p1	1.55633
drosophila__Unknown__TRINITY_DN54216_c0_g1_i1.p1	1.29589
drosophila__Unknown__TRINITY_DN12896_c0_g1_i2.p1	62.087586
drosophila__Unknown__TRINITY_DN1543_c0_g2_i7.p1	3.285456
drosophila__Unknown__TRINITY_DN2_c9_g1_i1.p1	25.166503
drosophila__Unknown__TRINITY_DN4403_c0_g1_i1.p2	12.129614
drosophila__Unknown__TRINITY_DN25296_c0_g1_i2.p1	3.000743
drosophila__Unknown__TRINITY_DN25296_c0_g1_i2.p1	3.000743
drosophila__Unknown__TRINITY_DN3038_c0_g1_i12.p1	7.42262
drosophila__Unknown__TRINITY_DN3038_c0_g1_i12.p1	7.42262
amphioxus__Unknown__TRINITY_DN12601_c0_g1_i10.p1	1.962648
