OrganismShortName	GeneGroup	ProteinID
blindMoleRat	CMAF	blindMoleRat__Maf__XP_008833613.2
brownRat	CMAF	brownRat__Maf__NP_062191.2
cat	CMAF	cat__MAF__XP_023101135.2
cow	CMAF	cow__MAF__XP_059733001.1
crabMacaque	CMAF	crabMacaque__MAF__XP_005592920.2
daubentonBat	CMAF	daubentonBat__MAF__XP_059523362.1
deerMouse	CMAF	deerMouse__Maf__XP_076428302.1
dog	CMAF	dog__MAF__XP_038394157.1
egyptianBat	CMAF	egyptianBat__MAF__XP_016007494.2
europeanHedgehog	CMAF	europeanHedgehog__MAF__XP_060041113.1
ferret	CMAF	ferret__MAF__XP_004754127.3
gerbil	CMAF	gerbil__Maf__XP_060247904.1
grassMouse	CMAF	grassMouse__Maf__Maf-T1
guineapig	CMAF	guineapig__Maf__XP_013000126.2
hamster	CMAF	hamster__Maf__XP_040592400.1
horse	CMAF	horse__MAF__XP_014593763.2
human	CMAF	human__MAF__NP_005351.2
labMouse	CMAF	labMouse__Maf__NP_001020748.2
marmoset	CMAF	marmoset__MAF__XP_002761235.1
minkeWhale	CMAF	minkeWhale__MAF__XP_057389759.1
nancymaMonkey	CMAF	nancymaMonkey__MAF__XP_021526730.2
oliveBaboon	CMAF	oliveBaboon__MAF__XP_003917264.3
opossum	CMAF	opossum__MAF__XP_016284180.1
pig	CMAF	pig__MAF__XP_020952724.1
platypus	CMAF	platypus__MAF__XP_028908667.1
rhesusMacaque	CMAF	rhesusMacaque__MAF__XP_014982165.2
roundleafBat	CMAF	roundleafBat__MAF__XP_019490287.1
sacwingedBat	CMAF	sacwingedBat__MAF__XP_066098959.1
sandRat	CMAF	sandRat__Maf__XP_055477398.1
sheep	CMAF	sheep__MAF__XP_027833450.2
treeShrew	CMAF	treeShrew__MAF__TSDBTID.15625.1
blindMoleRat	MAFA	blindMoleRat__Mafa__XP_008832750.1
brownRat	MAFA	brownRat__Mafa__NP_001386702.1
cat	MAFA	cat__MAFA__XP_023104341.2
cow	MAFA	cow__MAFA__XP_059730327.1
crabMacaque	MAFA	crabMacaque__MAFA__XP_015310804.3
daubentonBat	MAFA	daubentonBat__MAFA__XP_059528455.1
deerMouse	MAFA	deerMouse__Mafa__XP_076412222.1
dog	MAFA	dog__MAFA__XP_038411032.1
egyptianBat	MAFA	egyptianBat__MAFA__XP_015994715.2
europeanHedgehog	MAFA	europeanHedgehog__MAFA__XP_007516052.1
ferret	MAFA	ferret__MAFA__XP_044930139.1
gerbil	MAFA	gerbil__Mafa__XP_021515761.1
grassMouse	MAFA	grassMouse__Mafa__Mafa-T1
groundSquirrel	MAFA	groundSquirrel__Mafa__XP_005316155.1
guineapig	MAFA	guineapig__Mafa__XP_005008726.2
hamster	MAFA	hamster__Mafa__XP_005086026.1
horse	MAFA	horse__MAFA__XP_023504885.1
human	MAFA	human__MAFA__NP_963883.2
labMouse	MAFA	labMouse__Mafa__NP_919331.1
marmoset	MAFA	marmoset__MAFA__XP_008981332.2
