OrganismShortName	OrganismID	OrganismColor	AnnotationSource	CMAF	MAFA	MAFB	NRL	nMAF	Final
hydra	Hydra_vulgaris	Nonchordates	GCF						
flameJellyfish	Rhopilema_esculentum	Nonchordates	GCF						
boxJellyfish	Alatina_alata	Nonchordates	GCF Near						
scallop	Mizuhopecten_yessoensis	Nonchordates	GCF	scallop__LOC110466773__XP_021379197.1				1	Yes
octopus	Octopus_bimaculoides	Nonchordates	GCF	octopus__LOC106877814__XP_014782317.1				1	Yes
hawaiianSquid	Euprymna_scolopes	Nonchordates	GCA						
reefSquid	Sepioteuthis_sepioidea	Nonchordates	NoGenome						
tardigrade	Paramacrobiotus_metropolitanus	Nonchordates	GCF	tardigrade__LOC129584033__XP_055332096.1				1	Yes
spider	Habronattus_gilaensis	Nonchordates	NoGenome						
norwayLobster	Nephrops_norvegicus	Nonchordates	GCF Near						
americanLobster	Homarus_americanus	Nonchordates	GCF						
drosophila	Drosophila_melanogaster	Nonchordates	GCF	drosophila__tj__NP_001260582.1				1	Yes
plastererBee	Colletes_gigas	Nonchordates	GCF	plastererBee__LOC122403542__XP_043263048.1				1	Yes
acornWorm	Saccoglossus_kowalevskii	Nonchordates	GCF	acornWorm__maf-like__NP_001164706.1				1	Yes
seaurchin	Lytechinus_variegatus	Nonchordates	GCF						
echinoderm	Anneissia_japonica	Nonchordates	GCF	echinoderm__LOC117114910__XP_033114416.1				1	Yes
amphioxus	Branchiostoma_floridae	Protochordates	GCF	amphioxus__LOC136438471__XP_066289367.1				1	Yes
vaseTunicate	Ciona_intestinalis	Protochordates	GCF	vaseTunicate__LOC778664__NP_001071754.1					Yes
seaSquirt	Styela_clava	Protochordates	GCF						
atlanticHagfish	Myxine_glutinosa	Agnathans (hagfish and lampreys)	GCF	atlanticHagfish__LOC137435424__XP_067985302.1		atlanticHagfish__MAFB__XP_067963301.1	atlanticHagfish__LOC137434053__XP_067982786.1		Yes
broadgilledHagfish	Eptatretus_cirrhatus	Agnathans (hagfish and lampreys)	NoGenome						
pouchedLamprey	Geotria_australis	Agnathans (hagfish and lampreys)	GCA						
shortheadLamprey	Mordacia_mordax	Agnathans (hagfish and lampreys)	GCA						
seaLamprey	Petromyzon_marinus	Agnathans (hagfish and lampreys)	GCF	seaLamprey__LOC116956089__XP_032833429.2		seaLamprey__LOC116944233__XP_032813639.2	seaLamprey__LOC116954108__XP_032830443.2		Yes
fareasternBrookLamprey	Lethenteron_reissneri	Agnathans (hagfish and lampreys)	GCF	"fareasternBrookLamprey__LOC133340275__XP_061404356.1,fareasternBrookLamprey__LOC133340276__XP_061404357.1,fareasternBrookLamprey__LOC133350931__XP_061421757.1"					
arcticLamprey	Lethenteron_camtschaticum	Agnathans (hagfish and lampreys)	GCF Near						
bluespottedStingray	Neotrygon_kuhlii	Cartilaginous fishes	GCF Near						
redStingray	Hemitrygon_akajei	Cartilaginous fishes	GCF	redStingray__LOC140740842__XP_072926494.1	redStingray__mafaa__XP_072904721.1	redStingray__mafba__XP_072918127.1		3	
catshark	Scyliorhinus_torazame	Cartilaginous fishes	GCF	catshark__mafa__XP_072373938.1	catshark__mafaa__XP_072324324.1	catshark__LOC140428545__XP_072371246.1		3	
reefShark	Carcharhinus_amblyrhynchos	Cartilaginous fishes	GCF Near						
bambooShark	Chiloscyllium_punctatum	Cartilaginous fishes	GCF	bambooShark__mafa__XP_072451968.1	bambooShark__mafaa__XP_072426116.1	bambooShark__LOC140462900__XP_072412445.1		3	
nurseShark	Ginglymostoma_cirratum	Cartilaginous fishes	GCF Near						
zebraShark	Stegostoma_tigrinum	Cartilaginous fishes	GCF	zebraShark__LOC125460078__XP_048403134.2	zebraShark__mafaa__XP_048385419.1	zebraShark__LOC125461481__XP_048406268.1		3	
whaleShark	Rhincodon_typus	Cartilaginous fishes	GCF	whaleShark__mafa__XP_048462041.1	whaleShark__LOC109920499__XP_020376119.1	whaleShark__LOC109915489__XP_048464344.1		3	
bowfin	Amia_calva	Non-teleost ray-finned fishes	GCF Near						
spottedGar	Lepisosteus_oculatus	Non-teleost ray-finned fishes	GCF	spottedGar__mafa__XP_006641197.2	spottedGar__mafaa__XP_069047236.1	spottedGar__mafba__XP_006639587.2	spottedGar__nrl__XP_069044909.1	4	
floridaGar	Lepisosteus_platyrhincus	Non-teleost ray-finned fishes	GCF Near						
eel	Gymnothorax_saxicola	Teleost ray-finned fishes	NoGenome						
zebrafish	Danio_rerio	Teleost ray-finned fishes	GCF	"zebrafish__mafa__XP_021323247.1,zebrafish__mafb__NP_001303598.2"	zebrafish__mafaa__NP_001076409.1	zebrafish__mafba__NP_571090.2	zebrafish__nrl__NP_001035421.1	4	Yes
grassCarp	Ctenopharyngodon_idella	Teleost ray-finned fishes	GCF	"grassCarp__mafa__XP_051727005.1,grassCarp__mafb__XP_051739567.1"	grassCarp__mafaa__XP_051754161.1	grassCarp__mafba__XP_051736520.1	grassCarp__nrl__XP_051731548.1	4	Yes
