OrganismShortName	GeneGroup	ProteinID
blindMoleRat	MAFF	blindMoleRat__Maff__XP_008849486.1
brownRat	MAFF	brownRat__Maff__NP_001124045.1
cat	MAFF	cat__MAFF__XP_023113493.1
cow	MAFF	cow__MAFF__XP_024847998.1
crabMacaque	MAFF	crabMacaque__MAFF__XP_005567368.3
daubentonBat	MAFF	daubentonBat__MAFF__XP_059537548.1
deerMouse	MAFF	deerMouse__Maff__XP_006979206.1
dog	MAFF	dog__MAFF__XP_038407500.1
egyptianBat	MAFF	egyptianBat__MAFF__XP_036093375.1
europeanHedgehog	MAFF	europeanHedgehog__MAFF__XP_060044945.1
ferret	MAFF	ferret__MAFF__XP_004743278.1
gerbil	MAFF	gerbil__Maff__XP_021517277.2
grassMouse	MAFF	grassMouse__Maff__Maff-T1
groundSquirrel	MAFF	groundSquirrel__Maff__XP_005322482.1
guineapig	MAFF	guineapig__Maff__XP_063099865.1
hamster	MAFF	hamster__Maff__XP_040610079.1
horse	MAFF	horse__MAFF__XP_023487201.1
human	MAFF	human__MAFF__NP_036455.1
labMouse	MAFF	labMouse__Maff__NP_034885.1
marmoset	MAFF	marmoset__MAFF__XP_035128467.1
minkeWhale	MAFF	minkeWhale__MAFF__XP_057413363.1
nancymaMonkey	MAFF	nancymaMonkey__MAFF__XP_012314355.1
oliveBaboon	MAFF	oliveBaboon__MAFF__XP_017800799.1
opossum	MAFF	opossum__MAFF__XP_056654910.1
pig	MAFF	pig__MAFF__XP_013843663.1
platypus	MAFF	platypus__MAFF__XP_028935268.1
rhesusMacaque	MAFF	rhesusMacaque__MAFF__XP_001092994.2
roundleafBat	MAFF	roundleafBat__MAFF__XP_019520114.1
sacwingedBat	MAFF	sacwingedBat__MAFF__XP_066114419.1
sandRat	MAFF	sandRat__Maff__XP_055458888.1
sheep	MAFF	sheep__MAFF__XP_042103658.1
treeShrew	MAFF	treeShrew__MAFF__TSDBTID.24461.1
blindMoleRat	MAFG	blindMoleRat__Mafg__XP_029416972.1
brownRat	MAFG	brownRat__Mafg__NP_071781.1
cat	MAFG	cat__MAFG__XP_019673944.2
cow	MAFG	cow__MAFG__XP_059734011.1
crabMacaque	MAFG	crabMacaque__MAFG__XP_065388225.1
daubentonBat	MAFG	daubentonBat__MAFG__XP_059527539.1
deerMouse	MAFG	deerMouse__Mafg__XP_042139187.1
