AnnotationType	ProteinID	OrganismShortName	SpeciesGroup	GeneGroup	ProteinLen
annotated	blindMoleRat__Maf__XP_008833613.2	blindMoleRat	mammal	CMAF	
annotated	brownRat__Maf__NP_062191.2	brownRat	mammal	CMAF	
annotated	cat__MAF__XP_023101135.2	cat	mammal	CMAF	
annotated	cow__MAF__XP_059733001.1	cow	mammal	CMAF	
annotated	crabMacaque__MAF__XP_005592920.2	crabMacaque	mammal	CMAF	
annotated	daubentonBat__MAF__XP_059523362.1	daubentonBat	mammal	CMAF	
annotated	deerMouse__Maf__XP_076428302.1	deerMouse	mammal	CMAF	
annotated	dog__MAF__XP_038394157.1	dog	mammal	CMAF	
annotated	egyptianBat__MAF__XP_016007494.2	egyptianBat	mammal	CMAF	
annotated	europeanHedgehog__MAF__XP_060041113.1	europeanHedgehog	mammal	CMAF	
annotated	ferret__MAF__XP_004754127.3	ferret	mammal	CMAF	
annotated	gerbil__Maf__XP_060247904.1	gerbil	mammal	CMAF	
annotated	grassMouse__Maf__Maf-T1	grassMouse	mammal	CMAF	
annotated	guineapig__Maf__XP_013000126.2	guineapig	mammal	CMAF	
annotated	hamster__Maf__XP_040592400.1	hamster	mammal	CMAF	
annotated	horse__MAF__XP_014593763.2	horse	mammal	CMAF	
annotated	human__MAF__NP_005351.2	human	mammal	CMAF	
annotated	labMouse__Maf__NP_001020748.2	labMouse	mammal	CMAF	
annotated	marmoset__MAF__XP_002761235.1	marmoset	mammal	CMAF	
annotated	minkeWhale__MAF__XP_057389759.1	minkeWhale	mammal	CMAF	
annotated	nancymaMonkey__MAF__XP_021526730.2	nancymaMonkey	mammal	CMAF	
annotated	oliveBaboon__MAF__XP_003917264.3	oliveBaboon	mammal	CMAF	
annotated	opossum__MAF__XP_016284180.1	opossum	mammal	CMAF	
annotated	pig__MAF__XP_020952724.1	pig	mammal	CMAF	
annotated	platypus__MAF__XP_028908667.1	platypus	mammal	CMAF	
annotated	rhesusMacaque__MAF__XP_014982165.2	rhesusMacaque	mammal	CMAF	
annotated	roundleafBat__MAF__XP_019490287.1	roundleafBat	mammal	CMAF	
annotated	sacwingedBat__MAF__XP_066098959.1	sacwingedBat	mammal	CMAF	
annotated	sandRat__Maf__XP_055477398.1	sandRat	mammal	CMAF	
annotated	sheep__MAF__XP_027833450.2	sheep	mammal	CMAF	
annotated	treeShrew__MAF__TSDBTID.15625.1	treeShrew	mammal	CMAF	
annotated	blindMoleRat__Mafa__XP_008832750.1	blindMoleRat	mammal	MAFA	
annotated	brownRat__Mafa__NP_001386702.1	brownRat	mammal	MAFA	
annotated	cat__MAFA__XP_023104341.2	cat	mammal	MAFA	
annotated	cow__MAFA__XP_059730327.1	cow	mammal	MAFA	
annotated	crabMacaque__MAFA__XP_015310804.3	crabMacaque	mammal	MAFA	
annotated	daubentonBat__MAFA__XP_059528455.1	daubentonBat	mammal	MAFA	
annotated	deerMouse__Mafa__XP_076412222.1	deerMouse	mammal	MAFA	
annotated	dog__MAFA__XP_038411032.1	dog	mammal	MAFA	
annotated	egyptianBat__MAFA__XP_015994715.2	egyptianBat	mammal	MAFA	
annotated	europeanHedgehog__MAFA__XP_007516052.1	europeanHedgehog	mammal	MAFA	
annotated	ferret__MAFA__XP_044930139.1	ferret	mammal	MAFA	
annotated	gerbil__Mafa__XP_021515761.1	gerbil	mammal	MAFA	
annotated	grassMouse__Mafa__Mafa-T1	grassMouse	mammal	MAFA	
annotated	groundSquirrel__Mafa__XP_005316155.1	groundSquirrel	mammal	MAFA	
annotated	guineapig__Mafa__XP_005008726.2	guineapig	mammal	MAFA	
annotated	hamster__Mafa__XP_005086026.1	hamster	mammal	MAFA	
annotated	horse__MAFA__XP_023504885.1	horse	mammal	MAFA	
annotated	human__MAFA__NP_963883.2	human	mammal	MAFA	
annotated	labMouse__Mafa__NP_919331.1	labMouse	mammal	MAFA	
annotated	marmoset__MAFA__XP_008981332.2	marmoset	mammal	MAFA	
annotated	minkeWhale__MAFA__XP_057388115.1	minkeWhale	mammal	MAFA	
annotated	nancymaMonkey__MAFA__XP_021527743.2	nancymaMonkey	mammal	MAFA	
annotated	oliveBaboon__MAFA__XP_003919735.1	oliveBaboon	mammal	MAFA	
annotated	opossum__MAFA__XP_056678923.1	opossum	mammal	MAFA	
annotated	pig__MAFA__XP_020946195.1	pig	mammal	MAFA	
annotated	platypus__MAFA__XP_007656620.2	platypus	mammal	MAFA	
annotated	rhesusMacaque__MAFA__XP_015001613.2	rhesusMacaque	mammal	MAFA	
annotated	roundleafBat__MAFA__XP_019513343.1	roundleafBat	mammal	MAFA	
annotated	sacwingedBat__MAFA__XP_066121610.1	sacwingedBat	mammal	MAFA	
annotated	sandRat__Mafa__XP_055482483.1	sandRat	mammal	MAFA	
annotated	sheep__MAFA__XP_027829230.1	sheep	mammal	MAFA	
annotated	treeShrew__MAFA__TSDBTID.8045.1	treeShrew	mammal	MAFA	
annotated	blindMoleRat__Mafb__XP_008847806.1	blindMoleRat	mammal	MAFB	
annotated	brownRat__Mafb__NP_062189.1	brownRat	mammal	MAFB	
annotated	cat__MAFB__XP_023107022.1	cat	mammal	MAFB	
annotated	cow__MAFB__XP_002692508.1	cow	mammal	MAFB	
annotated	crabMacaque__MAFB__XP_045218909.1	crabMacaque	mammal	MAFB	
annotated	daubentonBat__MAFB__XP_059563059.1	daubentonBat	mammal	MAFB	
annotated	deerMouse__Mafb__XP_015854992.2	deerMouse	mammal	MAFB	
annotated	dog__MAFB__XP_038427303.1	dog	mammal	MAFB	
annotated	egyptianBat__MAFB__XP_015993032.1	egyptianBat	mammal	MAFB	
annotated	europeanHedgehog__MAFB__XP_007521706.2	europeanHedgehog	mammal	MAFB	
annotated	ferret__MAFB__XP_012908766.2	ferret	mammal	MAFB	
annotated	gerbil__Mafb__XP_021500039.1	gerbil	mammal	MAFB	
annotated	grassMouse__Mafb__Mafb-T1	grassMouse	mammal	MAFB	
annotated	groundSquirrel__Mafb__XP_005329891.1	groundSquirrel	mammal	MAFB	
annotated	guineapig__Mafb__XP_005002829.1	guineapig	mammal	MAFB	
annotated	hamster__Mafb__XP_005082705.2	hamster	mammal	MAFB	
annotated	horse__MAFB__XP_023482332.1	horse	mammal	MAFB	
annotated	human__MAFB__NP_005452.2	human	mammal	MAFB	
annotated	labMouse__Mafb__NP_034788.1	labMouse	mammal	MAFB	
annotated	marmoset__MAFB__XP_002747609.1	marmoset	mammal	MAFB	
annotated	minkeWhale__MAFB__XP_057386227.1	minkeWhale	mammal	MAFB	
annotated	nancymaMonkey__MAFB__XP_012310439.2	nancymaMonkey	mammal	MAFB	
annotated	oliveBaboon__MAFB__XP_003904790.1	oliveBaboon	mammal	MAFB	
annotated	opossum__MAFB__XP_007474403.2	opossum	mammal	MAFB	
annotated	pig__MAFB__XP_013840831.2	pig	mammal	MAFB	
annotated	platypus__MAFB__XP_028926613.1	platypus	mammal	MAFB	
