OrthoSymbol	africanFrog	americanAlligator	americanEel	axolotl	bambooShark	barnOwl	beardedDragon	blindMoleRat	brownRat	budgerigar	canary	cat	catshark	chicken	cod	commonBuzzard	commonKestrel	cow	crabMacaque	daubentonBat	dog	eagleOwl	egyptianBat	emu	flavescentPeacockFish	garterSnake	giltheadBream	goldenEagle	gosHwak	greenAnole	groundBoa	groundSquirrel	harpyEagle	hawaiianCrow	honeyguide	hoodedCrow	horse	human	japaneseGecko	labMouse	littleOwl	mallardDuck	marmoset	minkeWhale	mousebird	nancymaMonkey	northernPike	oceanJacket	oldwife	oliveBaboon	opossum	orientalScopsOwl	ostrich	peregrineFalcon	pig	pigeon	quail	redStingray	rhesusMacaque	roundleafBat	sacwingedBat	sandRat	sparrowHawk	spottedGar	sunangel	tawnyOwl	tuna	uralOwl	westernFrog	whiteWagtail	yangtzeCatfish	zebraShark	zebrafinch	zebrafish
CMAF	maf.L,maf.S	MAF	LOC135242659,LOC135255244	MAF	mafa	MAF	MAF	Maf	Maf	MAF	MAF	MAF	mafa	MAF	mafa	MAF	ENSFTIG00000003636	MAF	MAF	MAF	MAF	ENSBOBG00000000091	MAF	MAF	LOC115781690,mafa	LOC106551874	LOC115586770,mafa	MAF	MAF	maf	MAF		MAF	MAF	MAF	MAF	MAF	MAF	MAF	Maf	MAF	MAF	MAF	MAF	MAF	MAF	LOC105022181,mafa	LOC142903523,mafa	LOC139286594,mafa	MAF	MAF	ENSOSUG00000002544	MAF	MAF	MAF	MAF	MAF	LOC140740842	MAF	MAF	MAF	Maf	ENSANIG00000002392	mafa	MAF	MAF	mafa,mafb	MAF	maf	MAF	mafa,mafb	LOC125460078	MAF	mafa,mafb
CRX	crx.L,crx.S	LOC102576692	LOC135236352	LOC138566747	LOC140454601		LOC110088518	Crx	Crx			CRX	LOC140402323	OTX5	crx,LOC115528900	LOC142026825		CRX	CRX	LOC132216657	CRX		CRX	LOC135325254	crx,LOC115790034	LOC106555201	crx,LOC115594333		LOC126037476	LOC100559672	LOC134503250	LOC101960714	LOC128138109	LOC125334224		CRX	CRX	CRX	LOC107121371	Crx	CRX	LOC140000269	CRX	LOC103005484		CRX	crx,otx5	LOC142884405,LOC142903970	crx,LOC139285196	CRX			CRX		CRX	LOC102094696			CRX	CRX	CRX	Crx	ENSANIG00000015598,ENSANIG00000017996	LOC102686928			crx,LOC122983364	LOC141938950	crx		crx,otx5	LOC125447748	CRX	crx,otx5
MAFA	mafa.L,mafa.S	MAFA	LOC135260554,mafaa	MAFA	mafaa	MAFA	MAFA	Mafa	Mafa	MAFA	MAFA	MAFA	mafaa	MAFA	mafaa	MAFA	ENSFTIG00000002193	MAFA	MAFA	MAFA	MAFA	ENSBOBG00000014832	MAFA	MAFA	mafaa	MAFA	mafaa	MAFA	MAFA	mafa	MAFA	Mafa	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	Mafa	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	mafaa	mafaa	mafaa	MAFA	MAFA	ENSOSUG00000004962	MAFA	MAFA	MAFA	MAFA	MAFA	mafaa	MAFA	MAFA	MAFA	Mafa	ENSANIG00000009040	mafaa	MAFA	MAFA	mafaa	MAFA	mafa	MAFA	mafaa	mafaa	MAFA	mafaa
MAFB	mafb.L,mafb.S	MAFB	mafba,mafbb	MAFB	LOC140462900	MAFB	MAFB	Mafb	Mafb	MAFB	MAFB	MAFB	LOC140428545	MAFB	mafba,mafbb	MAFB	ENSFTIG00000008212	MAFB	MAFB	MAFB	MAFB	ENSBOBG00000006688	MAFB	MAFB	LOC115780235,mafba	MAFB	mafba,mafbb	MAFB	MAFB	mafb	MAFB	Mafb	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	Mafb	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	mafba,mafbb	mafba,mafbb	mafba,mafbb	MAFB		ENSOSUG00000015796	MAFB	MAFB	MAFB	MAFB	MAFB	mafba	MAFB	MAFB	MAFB	Mafb	ENSANIG00000007633	mafba	MAFB	MAFB	mafba,mafbb	MAFB	mafb	MAFB	mafba	LOC125461481	MAFB	mafba,mafbb
MAFF	maff.L,maff.S	MAFF	maff	MAFF	LOC140488943	MAFF	MAFF	Maff	Maff	MAFF	MAFF	MAFF	LOC140403927	MAFF	LOC115531400	MAFF	ENSFTIG00000014670	MAFF	MAFF	MAFF	MAFF	ENSBOBG00000006606	MAFF	MAFF	LOC115798469	MAFF	maff	MAFF	MAFF	maff	MAFF	Maff	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	Maff	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	maff	maff	maff	MAFF	MAFF	ENSOSUG00000008403	MAFF	MAFF	MAFF	MAFF	MAFF	LOC140719078	MAFF	MAFF	MAFF	Maff		maff	MAFF	MAFF	maff	MAFF	maff	MAFF	maff	LOC125447181	MAFF	maff
MAFG	mafg.L	MAFG	LOC135243176,mafgb	MAFG	LOC140464029	MAFG	MAFG	Mafg	Mafg	MAFG	MAFG	MAFG	LOC140395576	MAFG	LOC115539323,mafgb	MAFG	ENSFTIG00000000206	MAFG	MAFG	MAFG	MAFG	ENSBOBG00000014112	MAFG	MAFG	LOC115785214,mafgb	MAFG	LOC115576097,mafgb	MAFG	MAFG	mafg	MAFG	Mafg	MAFG		MAFG	MAFG	MAFG	MAFG	MAFG	Mafg	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	LOC105013039,mafgb	LOC142886990,mafgb	LOC139300464,mafgb	MAFG	MAFG	ENSOSUG00000008076	MAFG	MAFG	MAFG	MAFG	MAFG	mafga	MAFG	MAFG	MAFG	Mafg	ENSANIG00000017332	mafgb	MAFG	MAFG	LOC122966582,mafgb	MAFG	mafg	MAFG	mafga,mafgb	LOC125463828	MAFG	mafga,mafgb
MAFK	mafk.L,mafk.S	MAFK	LOC135248174,mafk	MAFK	mafk	MAFK	MAFK	Mafk	Mafk	MAFK	MAFK	MAFK	mafk	MAFK	mafk	MAFK	ENSFTIG00000004082	MAFK	MAFK	MAFK	MAFK	ENSBOBG00000007138	MAFK	MAFK	mafk	MAFK	mafk	MAFK	MAFK	mafk	MAFK	Mafk	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	Mafk	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	mafk	mafk	mafk	MAFK	MAFK	ENSOSUG00000005258	MAFK	MAFK	MAFK	MAFK	MAFK	mafk	MAFK	MAFK	MAFK	Mafk	ENSANIG00000015949	mafk	MAFK	MAFK	mafk	MAFK	mafk	MAFK	mafk	mafk	MAFK	mafk
NRL	nrl.L,nrl.S	NRL	nrl	LOC138521230			NRL	Nrl	Nrl			NRL			nrl			NRL	NRL		NRL		NRL		nrl	LOC106552296	nrl			nrl	NRL	Nrl					NRL	NRL	NRL	Nrl			NRL	NRL		NRL	nrl	nrl	nrl	NRL	NRL				NRL				NRL	NRL	NRL	Nrl		nrl			nrl		nrl		nrl			nrl
OTX1	otx1.L,otx1.S	OTX1	LOC135244174,otx1	OTX1	otx1	OTX1	OTX1	Otx1	Otx1	OTX1	OTX1	OTX1	otx1	OTX1	LOC115539721,otx1	OTX1	ENSFTIG00000009220	OTX1	OTX1	OTX1	OTX1		OTX1	OTX1	LOC115784140,otx1	OTX1	LOC115592924,otx1	OTX1	OTX1	otx1	OTX1	Otx1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	LOC107107343	Otx1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	LOC105021530,otx1	LOC142881380,LOC142903351,otx1	LOC139294521,otx1	OTX1	OTX1	ENSOSUG00000011755	OTX1	OTX1	OTX1	OTX1	OTX1	otx1	OTX1	OTX1	OTX1	Otx1	ENSANIG00000004090	otx1	OTX1	OTX1	LOC122976959,otx1	OTX1	otx1	OTX1	otx1,otx2a	otx1	OTX1	otx1,otx2a
OTX2	otx2.L,otx2.S	OTX2	LOC135257031,otx2b	OTX2	otx2b	OTX2	OTX2	Otx2	Otx2	OTX2	OTX2	OTX2	otx2b	OTX2		OTX2		OTX2	OTX2	OTX2	OTX2	ENSBOBG00000012921	OTX2	OTX2		LOC106538813		OTX2	OTX2	otx2	OTX2	LOC101962369,Otx2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	Otx2	OTX2	OTX2	OTX2	LOC103019289,OTX2	OTX2	OTX2	LOC105017544,otx2b			OTX2	OTX2	ENSOSUG00000014244	OTX2	OTX2	OTX2	OTX2	OTX2	otx2b	OTX2	OTX2	OTX2	Otx2	ENSANIG00000016085	otx2b	OTX2	OTX2		OTX2	otx2	OTX2		otx2b	OTX2	otx2b
GRIA1	LOC108712610,gria1.L	GRIA1	LOC135263638,gria1a	GRIA1	LOC140491916	GRIA1	GRIA1	Gria1	Gria1	GRIA1	GRIA1	GRIA1	LOC140427122	GRIA1	LOC115547812,gria1a	GRIA1	ENSFTIG00000012107	GRIA1	GRIA1	GRIA1	GRIA1	ENSBOBG00000003976	GRIA1	GRIA1	LOC115791590,gria1a	GRIA1	LOC115568536,gria1b	GRIA1	GRIA1	gria1	GRIA1	Gria1	GRIA1	GRIA1	GRIA1	GRIA1	GRIA1	GRIA1	GRIA1	Gria1	GRIA1	GRIA1	GRIA1	GRIA1	GRIA1	GRIA1	gria1a,gria1b	LOC142892006,gria1a	LOC139295553,gria1a	GRIA1	GRIA1	ENSOSUG00000002545	GRIA1	GRIA1	GRIA1	GRIA1	GRIA1	LOC140739096	GRIA1	GRIA1	GRIA1	Gria1	ENSANIG00000006611	gria1a	GRIA1	GRIA1	gria1a,gria1b	GRIA1	gria1	GRIA1	gria1a,gria1b	LOC125458209	GRIA1	gria1a,gria1b
