ShortName	GeneSymbol	GeneGroup	Comment
lamprey	LOC116945741	MAFA	"MAF bZIP transcription factor, transcript variant X3"
lamprey	LOC116944233	NRL	transcription factor Maf-like MAF_2
lamprey	LOC116937777	CMAF	"transcription factor Maf-like, transcript variant X1, MAF_1"
lamprey	LOC116953913	CMAF	transcription factor Maf-like MAF_3
lamprey	LOC116954108	MAFB	transcription factor MafB-like
lamprey	LOC116955192	MAFF	transcription factor MafF-like
lamprey	LOC116956089	CMAF	transcription factor Maf-like MAF_4
lamprey	LOC116958264	MAFK	transcription factor MafK-like
