OrganismShortName	OrganismID	OrganismColor	bulkrna107	AnnotationSource	AnnotationType	CMAF	MAFA	MAFB	NRL	MAFF	MAFG	MAFK	OTX1	OTX2	CRX	nMAFL	nMAFS	nOTX
hydra	Hydra_vulgaris	Nonchordates	No	GCF	annotated								hydra__LOC100209084__XP_065655724.1,hydra__LOC100211908__NP_001296697.1,hydra__LOC105846072__XP_065655683.1			0.0	0.0	1.0
flameJellyfish	Rhopilema_esculentum	Nonchordates	No	GCF	annotated								flameJellyfish__LOC135681342__XP_065051838.1,flameJellyfish__LOC135681422__XP_065051962.1,flameJellyfish__LOC135681476__XP_065052046.1,flameJellyfish__LOC135681547__XP_065052147.1,flameJellyfish__LOC135681548__XP_065052148.1			0.0	0.0	1.0
boxJellyfish	Alatina_alata	Nonchordates	Yes	GCF Near	denovo	boxJellyfishDenovo__Unknown__TRINITY_DN1602_c0_g1_i1.p1				boxJellyfishDenovo__Unknown__TRINITY_DN1602_c0_g1_i1.p1			boxJellyfishDenovo__Unknown__TRINITY_DN35139_c0_g2_i1.p1			1.0	1.0	1.0
scallop	Mizuhopecten_yessoensis	Nonchordates	Yes	GCF	annotated	scallop__LOC110466773__XP_021379197.1							scallop__LOC110448536__XP_021350497.1,scallop__LOC110450433__XP_021353636.1,scallop__LOC110452824__XP_021357195.1,scallop__LOC110454873__XP_021360300.1			1.0	0.0	1.0
scallop	Mizuhopecten_yessoensis	Nonchordates	Yes	GCF	denovo	scallopDenovo__Unknown__TRINITY_DN657_c0_g1_i1.p1				scallopDenovo__Unknown__TRINITY_DN657_c0_g1_i1.p1			scallopDenovo__Unknown__TRINITY_DN5433_c1_g1_i2.p1			1.0	1.0	1.0
octopus	Octopus_bimaculoides	Nonchordates	Yes	GCF	annotated	octopus__LOC106877814__XP_014782317.1							octopus__LOC106873941__NP_001310717.1,octopus__LOC106877685__XP_014782118.1,octopus__LOC106879885__XP_052832725.1,octopus__LOC106883503__XP_014790018.1			1.0	0.0	1.0
octopus	Octopus_bimaculoides	Nonchordates	Yes	GCF	denovo	octopusDenovo__Unknown__TRINITY_DN5979_c0_g1_i1.p1				octopusDenovo__Unknown__TRINITY_DN5979_c0_g1_i1.p1			octopusDenovo__Unknown__TRINITY_DN7217_c0_g2_i2.p1			1.0	1.0	1.0
hawaiianSquid	Euprymna_scolopes	Nonchordates	Yes	GCA	denovo	hawaiianSquidDenovo__Unknown__TRINITY_DN14340_c0_g2_i1.p2				hawaiianSquidDenovo__Unknown__TRINITY_DN14340_c0_g2_i1.p2			hawaiianSquidDenovo__Unknown__TRINITY_DN1268_c2_g1_i1.p1			1.0	1.0	1.0
reefSquid	Sepioteuthis_sepioidea	Nonchordates	Yes	NoGenome	denovo								reefSquidDenovo__Unknown__TRINITY_DN31639_c0_g1_i1.p1			0.0	0.0	1.0
tardigrade	Paramacrobiotus_metropolitanus	Nonchordates	No	GCF	annotated	tardigrade__LOC129584033__XP_055332096.1							tardigrade__LOC129584993__XP_055333443.1,tardigrade__LOC129586666__XP_055335966.1,tardigrade__LOC129589245__XP_055339840.1,tardigrade__LOC129598308__XP_055352121.1			1.0	0.0	1.0
spider	Habronattus_gilaensis	Nonchordates	Yes	NoGenome	denovo	spiderDenovo__Unknown__TRINITY_DN44266_c0_g1_i1.p1				spiderDenovo__Unknown__TRINITY_DN29467_c0_g1_i1.p1			spiderDenovo__Unknown__TRINITY_DN9937_c0_g1_i1.p1			1.0	1.0	1.0
norwayLobster	Nephrops_norvegicus	Nonchordates	Yes	GCF Near	denovo	norwayLobsterDenovo__Unknown__TRINITY_DN602_c0_g1_i25.p1				norwayLobsterDenovo__Unknown__TRINITY_DN602_c0_g1_i25.p1			norwayLobsterDenovo__Unknown__TRINITY_DN18427_c2_g2_i5.p1			1.0	1.0	1.0
americanLobster	Homarus_americanus	Nonchordates	No	GCF	annotated					americanLobster__LOC121867327__XP_042223182.1			americanLobster__LOC121854528__XP_042205135.1,americanLobster__LOC121854966__XP_042205720.1,americanLobster__LOC121878533__XP_042240735.1,americanLobster__LOC121879871__XP_042242588.1			0.0	1.0	1.0
drosophila	Drosophila_melanogaster	Nonchordates	Yes	GCF	annotated	drosophila__tj__NP_001260582.1				drosophila__maf-S__NP_001286639.1			drosophila__Drgx__NP_001097075.2,drosophila__PHDP__NP_523834.1,drosophila__oc__NP_001356934.1			1.0	1.0	1.0
drosophila	Drosophila_melanogaster	Nonchordates	Yes	GCF	denovo	drosophilaDenovo__Unknown__TRINITY_DN25296_c0_g1_i2.p1				drosophilaDenovo__Unknown__TRINITY_DN25296_c0_g1_i2.p1			drosophilaDenovo__Unknown__TRINITY_DN284_c0_g1_i5.p1			1.0	1.0	1.0
plastererBee	Colletes_gigas	Nonchordates	No	GCF	annotated	plastererBee__LOC122403542__XP_043263048.1				plastererBee__LOC122396420__XP_043250725.1			plastererBee__LOC122399734__XP_043256577.1,plastererBee__LOC122399790__XP_043256686.1,plastererBee__LOC122401243__XP_043259183.1,plastererBee__LOC122403419__XP_043262867.1			1.0	1.0	1.0
acornWorm	Saccoglossus_kowalevskii	Nonchordates	No	GCF	annotated	acornWorm__maf-like__NP_001164706.1							acornWorm__Dmbx__NP_001161526.1,acornWorm__LOC100369471__XP_002735289.1,acornWorm__LOC102804715__XP_006821810.1,acornWorm__PHox2__NP_001164681.1,acornWorm__drgx__NP_001158481.1,acornWorm__otx__NP_001158360.1			1.0	0.0	1.0
seaurchin	Lytechinus_variegatus	Nonchordates	No	GCF	annotated								seaurchin__LOC121407968__XP_041455186.1,seaurchin__LOC121418261__XP_041467961.1,seaurchin__LOC121431990__XP_041485726.1,seaurchin__LOC121432035__XP_041485789.1			0.0	0.0	1.0
echinoderm	Anneissia_japonica	Nonchordates	No	GCF	annotated	echinoderm__LOC117114910__XP_033114416.1							echinoderm__LOC117104664__XP_033101438.1,echinoderm__LOC117107729__XP_033105362.1,echinoderm__LOC117117484__XP_033117682.1,echinoderm__LOC117119230__XP_033119929.1			1.0	0.0	1.0
amphioxus	Branchiostoma_floridae	Protochordates	Yes	GCF	annotated	amphioxus__LOC136438471__XP_066289367.1							amphioxus__LOC136433338__XP_066281542.1,amphioxus__LOC136436046__XP_066285834.1,amphioxus__LOC136448406__XP_066303959.1,amphioxus__LOC136449157__XP_066305108.1			1.0	0.0	1.0
amphioxus	Branchiostoma_floridae	Protochordates	Yes	GCF	denovo	amphioxusDenovo__Unknown__TRINITY_DN2837_c0_g1_i3.p1				amphioxusDenovo__Unknown__TRINITY_DN2837_c0_g1_i3.p1			amphioxusDenovo__Unknown__TRINITY_DN28818_c0_g1_i5.p1			1.0	1.0	1.0
vaseTunicate	Ciona_intestinalis	Protochordates	Yes	GCF	annotated					vaseTunicate__LOC778757__NP_001071818.1			vaseTunicate__LOC100178876__XP_002119140.1,vaseTunicate__otx2__NP_001027662.2,vaseTunicate__phox2__NP_001037829.1			0.0	1.0	1.0
vaseTunicate	Ciona_intestinalis	Protochordates	Yes	GCF	denovo	vaseTunicateDenovo__Unknown__TRINITY_DN8422_c0_g1_i2.p1				vaseTunicateDenovo__Unknown__TRINITY_DN8422_c0_g1_i2.p1			vaseTunicateDenovo__Unknown__TRINITY_DN5152_c0_g1_i2.p1			1.0	1.0	1.0
seaSquirt	Styela_clava	Protochordates	No	GCF	annotated					seaSquirt__LOC120331304__XP_039254309.1,seaSquirt__LOC120347869__XP_039273915.1			seaSquirt__LOC120326315__XP_039248511.1,seaSquirt__LOC120331221__XP_039254229.1,seaSquirt__LOC120341627__XP_039266104.1,seaSquirt__LOC120348055__XP_039274099.1			0.0	1.0	1.0
atlanticHagfish	Myxine_glutinosa	Agnathans (hagfish and lampreys)	No	GCF														
broadgilledHagfish	Eptatretus_cirrhatus	Agnathans (hagfish and lampreys)	Yes	NoGenome	denovo					broadgilledHagfishDenovo__Unknown__TRINITY_DN2165_c0_g1_i4.p1			broadgilledHagfishDenovo__Unknown__TRINITY_DN1106_c1_g1_i2.p1	broadgilledHagfishDenovo__Unknown__TRINITY_DN4400_c1_g1_i51.p1	broadgilledHagfishDenovo__Unknown__TRINITY_DN4400_c1_g1_i51.p1	0.0	1.0	3.0
pouchedLamprey	Geotria_australis	Agnathans (hagfish and lampreys)	Yes	GCA	denovo	pouchedLampreyDenovo__Unknown__TRINITY_DN4424_c2_g1_i1.p2			pouchedLampreyDenovo__Unknown__TRINITY_DN6656_c0_g2_i2.p2				pouchedLampreyDenovo__Unknown__TRINITY_DN1833_c0_g1_i24.p2	pouchedLampreyDenovo__Unknown__TRINITY_DN583_c1_g1_i6.p1	pouchedLampreyDenovo__Unknown__TRINITY_DN583_c1_g1_i6.p1	2.0	0.0	3.0
