Gene	Orthogroup
adcy3	OG0003774
adcy4	OG0002487
adcy7	OG0002487
adcy8	OG0004628
cpne1	OG0000230
cpne3	OG0000230
cpne6	OG0015401
cpne7	OG0000230
jph1	OG0000536
jph2	OG0000536
jph3	OG0000536
jph4	OG0000536
tox	OG0000782
tox2	OG0000782
tox3	OG0000782
tox4	OG0000782
chd6	OG0001521
chd7	OG0001521
chd8	OG0001521
chd9	OG0001521
ndrg1	OG0001290
ndrg2	OG0001290
ndrg3	OG0001290
ndrg4	OG0001290
mafa	OG0000749
mafb	OG0000749
cmaf	OG0000749
nrl	OG0000749
