ProteinID	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	pep	OrganismID
boxJellyfish__TRINITY_DN1602_c0_g1_i1.p1	TRINITY_DN1602_c0_g1_i1.p1	86f141d3b402730996dce4527a371c4d	259	CDD	cd14718	bZIP_Maf_large	193	254	1.43522e-24	T	15-11-2024	-	-	/data/VisionEvo/Interproscan/Alatina_alata/Alatina_alata_0_denovo.fasta.transdecoder_nostar/Alatina_alata_0_denovo.fasta.transdecoder_nostar.pep.chunk0008	Alatina_alata
scallop__TRINITY_DN657_c0_g1_i1.p1	TRINITY_DN657_c0_g1_i1.p1	430f07069ded2925888f5bef54f20196	292	CDD	cd14718	bZIP_Maf_large	192	261	2.65204e-35	T	15-11-2024	-	-	/data/VisionEvo/Interproscan/Mizuhopecten_yessoensis/Mizuhopecten_yessoensis_X_denovo.fasta.transdecoder_nostar/Mizuhopecten_yessoensis_X_denovo.fasta.transdecoder_nostar.pep.chunk0040	Mizuhopecten_yessoensis
scallop__TRINITY_DN657_c0_g2_i1.p1	TRINITY_DN657_c0_g2_i1.p1	430f07069ded2925888f5bef54f20196	292	CDD	cd14718	bZIP_Maf_large	192	261	2.65204e-35	T	15-11-2024	-	-	/data/VisionEvo/Interproscan/Mizuhopecten_yessoensis/Mizuhopecten_yessoensis_X_denovo.fasta.transdecoder_nostar/Mizuhopecten_yessoensis_X_denovo.fasta.transdecoder_nostar.pep.chunk0040	Mizuhopecten_yessoensis
scallop__TRINITY_DN8509_c0_g1_i1.p1	TRINITY_DN8509_c0_g1_i1.p1	55a854f9012c89c31e75249f48ca4b58	158	CDD	cd14717	bZIP_Maf_small	52	121	8.53275e-32	T	15-11-2024	-	-	/data/VisionEvo/Interproscan/Mizuhopecten_yessoensis/Mizuhopecten_yessoensis_X_denovo.fasta.transdecoder_nostar/Mizuhopecten_yessoensis_X_denovo.fasta.transdecoder_nostar.pep.chunk0047	Mizuhopecten_yessoensis
