OrthoSymbol	atlanticHagfish	fareasternBrookLamprey	seaLamprey
MAFL1A	LOC137434053	LOC133355906	LOC116954108
MAFL1B	MAFB	LOC133350931	LOC116944233
MAFL2A		LOC133340275,LOC133340276	LOC116945741
MAFL2B	LOC137435424,LOC137435426	LOC133357956	LOC116956089
MAFS1A	LOC137423368	LOC133347959	LOC116958264
OTX1C	OTX2	LOC133342300	LOC116943301
OTX2A	LOC137437294	LOC133362651	LOC116947280
OTX2B	LOC137435525,LOC137435526	LOC133347341	LOC103091753
OTX2C		LOC133341283	LOC116947882
OG0003792	LOC137418873	LOC133349665	LOC116948702
OG0003793	LOC137413774	LOC133360330	LOC116956455
OG0003795	LOC137431701	HSPA8	HSPA8
OG0003796	LOC137426429	LOC133358692	LOC116955163
OG0003797	TM2D3	TM2D3	TM2D3
OG0003801	LOC137423945	LOC133347551	LOC116952634
OG0003802	LOC137427574	LOC133359956	LOC116958663
OG0003803	DNAAF3	LOC133360416	DNAAF3
OG0003804	LOC137427686	LOC133353873	LOC116952517
OG0003805	GNAO1	GNAO1	GNAO1
OG0003806	LOC137425027	LOC133355645	LOC116952296
OG0003807	LOC137415555	LOC133351727	LOC116947618
OG0003808	LOC137424579	LOC133356788	LOC116952658
OG0003809	LOC137436695	LOC133349449	LOC116942386
OG0003810	STRN3	LOC133346950	LOC116939323
OG0003812	LOC137434804	LOC133347158	LOC116939531
OG0003813	LOC137434547	LOC133347053	LOC116955046
OG0003814	LOC137431809	LOC133349774	LOC116948593
OG0003815	LOC137436919	LOC133357479	LOC116943897
OG0003816	LOC137431759	LOC133346116	LOC116938527
OG0003817	LOC137433094	PLEKHA7	PLEKHA7
OG0003818	LOC137429737	LOC133349357	LOC142924561
OG0003820	LOC137425484	LOC133343010	ATP8A1
OG0003821	LOC137439469	LOC133357648	LOC116955769
OG0003822	LOC137431466	LOC133349645	LOC116948718
OG0003823	FGL1	FGL1	LOC116942804
OG0003824	LOC137413231	LOC133341744	LOC116944866
OG0003825	LOC137435586	LOC133348503	LOC116938942
OG0003826	DYNC1H1	LOC133342225	LOC116943368
OG0003827	LOC137416337	LOC133351740	LOC116947543
OG0003828	LOC137429749	LOC133349342	LOC116942266
