OrganismShortName	OrganismID	OrganismColor	AnnotationSource	MAFF	MAFG	MAFK	nMAF
hydra	Hydra_vulgaris	Nonchordates	GCF				
flameJellyfish	Rhopilema_esculentum	Nonchordates	GCF				
boxJellyfish	Alatina_alata	Nonchordates	GCF Near				
scallop	Mizuhopecten_yessoensis	Nonchordates	GCF				
octopus	Octopus_bimaculoides	Nonchordates	GCF				
hawaiianSquid	Euprymna_scolopes	Nonchordates	GCA				
reefSquid	Sepioteuthis_sepioidea	Nonchordates	NoGenome				
tardigrade	Paramacrobiotus_metropolitanus	Nonchordates	GCF				
spider	Habronattus_gilaensis	Nonchordates	NoGenome				
norwayLobster	Nephrops_norvegicus	Nonchordates	GCF Near				
americanLobster	Homarus_americanus	Nonchordates	GCF	americanLobster__LOC121867327__XP_042223182.1			1.0
drosophila	Drosophila_melanogaster	Nonchordates	GCF	drosophila__maf-S__NP_001286639.1			1.0
plastererBee	Colletes_gigas	Nonchordates	GCF	plastererBee__LOC122396420__XP_043250725.1			1.0
acornWorm	Saccoglossus_kowalevskii	Nonchordates	GCF				
seaurchin	Lytechinus_variegatus	Nonchordates	GCF				
echinoderm	Anneissia_japonica	Nonchordates	GCF				
amphioxus	Branchiostoma_floridae	Protochordates	GCF				
vaseTunicate	Ciona_intestinalis	Protochordates	GCF	vaseTunicate__LOC778757__NP_001071818.1			1.0
seaSquirt	Styela_clava	Protochordates	GCF	seaSquirt__LOC120331304__XP_039254309.1,seaSquirt__LOC120347869__XP_039273915.1			1.0
atlanticHagfish	Myxine_glutinosa	Agnathans (hagfish and lampreys)	GCF				
broadgilledHagfish	Eptatretus_cirrhatus	Agnathans (hagfish and lampreys)	NoGenome				
pouchedLamprey	Geotria_australis	Agnathans (hagfish and lampreys)	GCA				
shortheadLamprey	Mordacia_mordax	Agnathans (hagfish and lampreys)	GCA				
seaLamprey	Petromyzon_marinus	Agnathans (hagfish and lampreys)	GCF				
fareasternBrookLamprey	Lethenteron_reissneri	Agnathans (hagfish and lampreys)	GCF				
arcticLamprey	Lethenteron_camtschaticum	Agnathans (hagfish and lampreys)	GCF Near				
bluespottedStingray	Neotrygon_kuhlii	Cartilaginous fishes	GCF Near				
redStingray	Hemitrygon_akajei	Cartilaginous fishes	GCF	redStingray__LOC140719078__XP_072889555.1	redStingray__mafga__XP_072882308.1	redStingray__mafk__XP_072917087.1	3.0
catshark	Scyliorhinus_torazame	Cartilaginous fishes	GCF	catshark__LOC140403927__XP_072348285.1	catshark__LOC140395576__XP_072339627.1	catshark__mafk__XP_072337129.1	3.0
reefShark	Carcharhinus_amblyrhynchos	Cartilaginous fishes	GCF Near				
bambooShark	Chiloscyllium_punctatum	Cartilaginous fishes	GCF	bambooShark__LOC140488943__XP_072444262.1	bambooShark__LOC140464029__XP_072414753.1	bambooShark__mafk__XP_072415341.1	3.0
nurseShark	Ginglymostoma_cirratum	Cartilaginous fishes	GCF Near				
zebraShark	Stegostoma_tigrinum	Cartilaginous fishes	GCF	zebraShark__LOC125447181__XP_048377337.1	zebraShark__LOC125463828__XP_048411544.1	zebraShark__mafk__XP_048408027.1	3.0
whaleShark	Rhincodon_typus	Cartilaginous fishes	GCF	whaleShark__LOC109925329__XP_048473543.1	whaleShark__LOC125481030__XP_048466689.1	whaleShark__mafk__XP_020382141.1	3.0
bowfin	Amia_calva	Non-teleost ray-finned fishes	GCF Near				
spottedGar	Lepisosteus_oculatus	Non-teleost ray-finned fishes	GCF	spottedGar__maff__XP_069053156.1	spottedGar__mafgb__XP_006635210.2	spottedGar__mafk__XP_015215295.1	3.0
floridaGar	Lepisosteus_platyrhincus	Non-teleost ray-finned fishes	GCF Near				
eel	Gymnothorax_saxicola	Teleost ray-finned fishes	NoGenome				
zebrafish	Danio_rerio	Teleost ray-finned fishes	GCF	zebrafish__maff__NP_956630.1	zebrafish__mafga__XP_021325832.2,zebrafish__mafgb__XP_005169479.2	zebrafish__mafk__XP_005164260.1	3.0
grassCarp	Ctenopharyngodon_idella	Teleost ray-finned fishes	GCF	grassCarp__maff__XP_051771291.1	grassCarp__mafga__XP_051743368.1,grassCarp__mafgb__XP_051767641.1	grassCarp__mafk__XP_051742255.1	3.0
channelCatfish	Ictalurus_punctatus	Teleost ray-finned fishes	GCF	channelCatfish__maff__XP_017339225.1	channelCatfish__mafga__XP_053530046.1,channelCatfish__mafgb__XP_017333948.1	channelCatfish__mafk__XP_017310124.1	3.0
yangtzeCatfish	Silurus_meridionalis	Teleost ray-finned fishes	GCF	yangtzeCatfish__maff__XP_046709373.1	yangtzeCatfish__mafga__XP_046721846.1,yangtzeCatfish__mafgb__XP_046713108.1	yangtzeCatfish__mafk__XP_046690455.1	3.0
piranha	Pygocentrus_nattereri	Teleost ray-finned fishes	GCF	piranha__maff__XP_017560970.1	piranha__mafga__XP_017569580.1,piranha__mafgb__XP_037400945.1	piranha__mafk__XP_017562994.1	3.0
