OrthoSymbol	americanLobster	amphioxus	drosophila	flameJellyfish	octopus	scallop	vaseTunicate	waspSpider
MAFL		LOC136438471	tj		LOC106877814	LOC110466773	LOC778664	
MAFS	LOC121867327	LOC136439868	maf-S		LOC106879026		LOC778757	
OTX	LOC121854528,LOC121879871	LOC136433338	oc	LOC135681342,LOC135681476,LOC135681547,LOC135681548	LOC106873941	LOC110450433	otx2	
OG0003455	LOC121865673	LOC136442394	Cdc45	LOC135683847	LOC106870207	LOC110463126	cdc45	LOC129965851
OG0004078	LOC121864106	LOC136443052	CG8950	LOC135694313	LOC106883326	LOC110454404	LOC100178427	LOC129969460
OG0004081	LOC121868198	LOC136430451	CG5447	LOC135696013	LOC106872445	LOC110453034	LOC100177849	LOC129971625
OG0004083	LOC121864689	LOC136436691	ind	LOC135686313	LOC106868924	LOC110452406	hoxa2	LOC129959656
OG0004087	LOC121871529	LOC136448396	Pax	LOC135683990	LOC106874417	LOC110461326	LOC100181752	LOC129972244
OG0004096	LOC121855374	LOC136436137	ds	LOC135686570	LOC106872611	LOC110466738	LOC100182359	LOC129958337
OG0004097	LOC121872446	LOC136427226	Cdk7	LOC135687178	LOC106883163	LOC110441551	LOC100182642	LOC129972173
OG0004098	LOC121868572	LOC136435448	CG6800	LOC135696518	LOC106883147	LOC110458038	LOC100179255	LOC129957485
OG0004100	LOC121863791	LOC136447606	Cdk5	LOC135682242	LOC106880362	LOC110443310	LOC100181289	LOC129962727
OG0004101	LOC121862147	LOC136448472	Cdk1	LOC135682609	LOC106880228	LOC110448550	LOC101243133	LOC129971553
OG0004103	LOC121866487	LOC136421146	mEFTs	LOC135695721	LOC106883783	LOC110442892	LOC100179012	LOC129989490
OG0004105	LOC121864746	LOC136444080	Klp54D	LOC135683582	LOC106869565	LOC110463124	LOC100179715	LOC129966099
OG0004106	LOC121855008	LOC136428739	Klp68D	LOC135696656	LOC106873895	LOC110447871	kif3b	LOC129957039
OG0004108	LOC121875775	LOC136449339	luna	LOC135681498	LOC106869066	LOC110456019	zf_c2h2_-22	LOC129983864
OG0004109	LOC121874892	LOC136433657	Dlc90F	LOC135685700	LOC106878696	LOC110440389	dynlt1	LOC129961575
OG0004110	LOC121861799	LOC136435016	CaMKI	LOC135692655	LOC106883616	LOC110442509	cam-k	LOC129964026
OG0004111	LOC121875188	LOC136447390	Drak	LOC135682813	LOC106870561	LOC110458810	LOC100187314	LOC129983724
OG0004113	LOC121859442	LOC136421131	mgl	LOC135681324	LOC128251380	LOC110441712	LOC100183506	LOC129984396
OG0004117	LOC121870845	LOC136448682	net	LOC135686497	LOC106868144	LOC110448597	LOC778686	LOC129988556
OG0004118	LOC121869900	LOC136448569	tap	LOC135681647	LOC106873740	LOC110446071	neurogenin	LOC129972576
OG0004119	LOC121871521	LOC136439339	org-1	LOC135683270	LOC106877895	LOC110462210	tbx1	LOC129972508
OG0004121	LOC121875835	LOC136446893	Rab18	LOC135682399	LOC106874542	LOC110463212	LOC100185576	LOC129957127
OG0004122	LOC121878742	LOC136440043	Rab26	LOC135691894	LOC106871542	LOC110451212	LOC100186168	LOC129975255
OG0004130	LOC121862240	LOC136422078	Syt7	LOC135696219	LOC106869116	LOC110451585	LOC100177313	LOC129969666
OG0004132	LOC121863060	LOC136445659	Atf-2	LOC135682122	LOC106878431	LOC110446621	atf2/7	LOC129957053
OG0004133	LOC121862308	LOC136433239	kay	LOC135684986	LOC106876912	LOC110450542	fos	LOC129966516
OG0004137	LOC121875100	LOC136448525	Rassf	LOC135689400	LOC106870574	LOC110453012	LOC100187357	LOC129980775
OG0004138	LOC121854629	LOC136447024	CG43373	LOC135682492	LOC106882760	LOC110463711	LOC778532	LOC129987880
OG0004140	LOC121864965	LOC136421132	fz	LOC135681617	LOC106881898	LOC110461870	LOC778717	LOC129985148
OG0004141	LOC121864920	LOC136420603	fz2	LOC135681301	LOC106871811	LOC110442966	cifrz	LOC129985268
OG0004144	LOC121858843	LOC136447877	Pgant35A	LOC135681896	LOC106871349	LOC110443323	LOC100182940	LOC129965513
OG0004145	LOC121875733	LOC136420346	vari	LOC135681563	LOC106878551	LOC110441714	LOC100179311	LOC129958233
OG0004146	LOC121858643	LOC136433008	smid	LOC135694621	LOC106880678	LOC110455468	LOC100183707	LOC129968841
OG0004147	LOC121869010	LOC136445413	TER94	LOC135695160	LOC106878147	LOC110466640	LOC100187157	LOC129975175
OG0004148	LOC121853932	LOC136424767	Mpv17	LOC135689396	LOC106878289	LOC110452011	LOC100176969	LOC129960778
OG0004149	LOC121876793	LOC136432448	Max	LOC135681315	LOC106872217	LOC110441894	LOC104265746	LOC129976572
OG0004150	LOC121875763	LOC136432380	amon	LOC135691397	LOC106876825	LOC110462057	cipc2	LOC129956628
OG0004151	LOC121861508	LOC136448146	CG4080	LOC135685941	LOC106868497	LOC110457667	LOC100180123	LOC129958018
OG0004152	LOC121858422	LOC136424582	Tektin-C	LOC135683611	LOC106881076	LOC110463127	LOC100186452	LOC129965864
OG0004153	LOC121874183	LOC136428823	CG3085	LOC135688916	LOC106871931	LOC110456048	tektinB1	LOC129963991
OG0004157	LOC121853779	LOC136430362	CG6678	LOC135681433	LOC106877122	LOC110445641	LOC100176442	LOC129976738
OG0004158	LOC121869184	LOC136429029	Csk	LOC135687298	LOC106877319	LOC110445669	LOC100176191	LOC129957388
OG0004159	LOC121876299	LOC136430493	bap	LOC135684285	LOC106874400	LOC110462344	LOC778699	LOC129966355
OG0004162	LOC121868594	LOC136442540	dbo	LOC135693096	LOC106878101	LOC110460802	LOC100175104	LOC129963415
OG0004165	LOC121868417	LOC136438744	cindr	LOC135685683	LOC106872965	LOC110454289	LOC100186262	LOC129981590
OG0004166	LOC121867228	LOC136436434	POSH	LOC135686805	LOC106880631	LOC110444693	LOC100177137	LOC129975706
OG0004167	LOC121858274	LOC136432581	CHES-1-like	LOC135681803	LOC106879200	LOC110459166	foxn2/3	LOC129961877
OG0004170	LOC121879382	LOC136447057	CG1824	LOC135696607	LOC106880571	LOC110459981	LOC100176183	LOC129981585
OG0004172	LOC121868730	LOC136435287	upSET	LOC135689834	LOC106873279	LOC110449432	LOC113474448	LOC129989251
OG0004174	LOC121855081	LOC136429974	Eps-15	LOC135694539	LOC106880671	LOC110445212	LOC100181812	LOC129968811
OG0004175	LOC121878548	LOC136421686	Rab21	LOC135696541	LOC106873699	LOC110457567	LOC100177212	LOC129963143
OG0004178	LOC121859676	LOC136421718	Art3	LOC135695401	LOC106871252	LOC110467218	LOC100186368	LOC129969661
OG0004179	LOC121878173	LOC136427710	Nup153	LOC135693877	LOC106881551	LOC110442006	zf_rbz_-2	LOC129983702
OG0004182	LOC121870007	LOC136428477	CG10508	LOC135680979	LOC106869314	LOC110447559	LOC100186360	LOC129969136
OG0004184	LOC121856935	LOC136444064	myd	LOC135688599	LOC106882357	LOC110458845	LOC100182114	LOC129976052
OG0004187	LOC121855236	LOC136427594	Rad51D	LOC135683918	LOC106882537	LOC110445854	LOC100181925	LOC129971624
OG0004188	LOC121866042	LOC136424951	Dad	LOC135690371	LOC106870530	LOC110466032	smad6/7	LOC129963134
OG0004189	LOC121858618	LOC136436361	Mad	LOC135682351	LOC106879879	LOC110454854	smad1/5	LOC129963340
OG0004191	LOC121877743	LOC136437921	Dhc1	LOC135691193	LOC106881606	LOC110453606	LOC100184836	LOC129965553
OG0004192	LOC121858903	LOC136432732	Dbp21E2	LOC135691432	LOC106875740	LOC110459819	LOC100185598	LOC129988323
OG0004193	LOC121872291	LOC136433653	CG7483	LOC135689433	LOC106878204	LOC110467017	LOC100185906	LOC129968634
OG0004195	LOC121871164	LOC136436933	Ube3a	LOC135689967	LOC106884186	LOC110447139	LOC100184928	LOC129968171
OG0004197	LOC121859438	LOC136445436	AMPKalpha	LOC135694326	LOC106875312	LOC110449031	LOC100184788	LOC129963185
OG0004198	LOC121875641	LOC136442331	CG11777	LOC135693941	LOC106873478	LOC110460774	LOC100183897	LOC129981136
OG0004199	LOC121869019	LOC136434308	Cypl	LOC135693227	LOC106871245	LOC110446702	LOC100180391	LOC129968968
OG0004200	LOC121853153	LOC136447296	Septin1	LOC135683587	LOC106876267	LOC110447019	LOC100177068	LOC129968715
OG0004201	LOC121857826	LOC136430281	Mob2	LOC135695663	LOC106877172	LOC110447837	LOC100175203	LOC129960030
OG0004202	LOC121876928	LOC136448564	mats	LOC135680871	LOC106869691	LOC110447510	LOC113474015	LOC129966803
OG0004204	LOC121860206	LOC136448864	mof	LOC135688742	LOC106873138	LOC110456779	LOC100179857	LOC129961639
OG0004205	LOC121876127	LOC136434051	chm	LOC135684820	LOC106877126	LOC110452044	zf_c2hc_-2	LOC129961589
OG0004206	LOC121867801	LOC136431091	Ttc1	LOC135696411	LOC106881529	LOC110462990	LOC100186802	LOC129980487
OG0004207	LOC121861058	LOC136423924	Spag1	LOC135689773	LOC106872509	LOC110451826	LOC100186061	LOC129976461
OG0004209	LOC121853422	LOC136421458	su_f	LOC135681188	LOC106869382	LOC110451571	LOC100177545	LOC129971202
OG0004210	LOC121877380	LOC136448822	tkv	LOC135696723	LOC106873837	LOC110451209	tgfbr-ib	LOC129963030
OG0004211	LOC121876071	LOC136442244	CG42673	LOC135693448	LOC106878170	LOC110448032	LOC100187541	LOC129976109
OG0004212	LOC121864165	LOC136445565	RhoGAP5A	LOC135682764	LOC106875299	LOC110452759	LOC100186049	LOC129960120
OG0004214	LOC121870722	LOC136446542	Myo95E	LOC135682229	LOC106882585	LOC110465514	LOC100181758	LOC129976617
OG0004215	LOC121872020	LOC136448416	CG7379	LOC135681462	LOC106880615	LOC110445777	LOC100182325	LOC129981038
OG0004216	LOC121879269	LOC136443269	Ing5	LOC135688326	LOC106871181	LOC110450310	LOC100184129	LOC129963855
OG0004217	LOC121873701	LOC136434832	Ing3	LOC135692481	LOC106871167	LOC110461702	LOC100183795	LOC129971649
OG0004218	LOC121879993	LOC136433139	par-1	LOC135693724	LOC106869493	LOC110454943	LOC100184744	LOC129975224
OG0004219	LOC121853396	LOC136432680	Sik3	LOC135684434	LOC106878883	LOC110462122	LOC100182214	LOC129974962
OG0004221	LOC121861785	LOC136423596	eIF4EHP	LOC135684624	LOC106877817	LOC110463770	LOC101242392	LOC129960281
OG0004223	LOC121878442	LOC136440910	Nprl3	LOC135685685	LOC106867850	LOC110465110	LOC100177888	LOC129988580
OG0004224	LOC121873492	LOC136423442	128up	LOC135683603	LOC106872956	LOC110461801	LOC100177117	LOC129964035
OG0004225	LOC121874709	LOC136449120	Xrcc2	LOC135684603	LOC106879846	LOC110466391	LOC101243045	LOC129972441
OG0004226	LOC121871887	LOC136425758	Usp8	LOC135690374	LOC106873302	LOC110466959	LOC100186923	LOC129957094
OG0004228	LOC121873852	LOC136448255	CG4098	LOC135683726	LOC106875169	LOC110454081	LOC100182201	LOC129956965
OG0004231	LOC121855478	LOC136439654	Mkk4	LOC135691775	LOC106873711	LOC110442146	mapkk4	LOC129983865
OG0004232	LOC121871442	LOC136438443	Pabp2	LOC135691446	LOC106873873	LOC110453397	LOC100181118	LOC129976656
OG0004233	LOC121857341	LOC136431503	dnd	LOC135695954	LOC106868684	LOC110458206	LOC100176430	LOC129962711
OG0004234	LOC121862427	LOC136432349	Arl2	LOC135691067	LOC106867464	LOC110459602	LOC100178355	LOC129961938
OG0004235	LOC121857762	LOC136445300	Cmpk	LOC135694942	LOC106884325	LOC110456039	LOC100186749	LOC129975669
OG0004236	LOC121859544	LOC136444675	f-cup	LOC135694949	LOC106879793	LOC110451149	LOC104266573	LOC129972251
OG0004237	LOC121860493	LOC136433638	CG14715	LOC135688134	LOC106881114	LOC110449550	LOC100175378	LOC129981273
OG0004238	LOC121873957	LOC136427997	CG3104	LOC135689244	LOC106876194	LOC110440522	LOC100185246	LOC129957618
OG0004239	LOC121853537	LOC136427437	Erk7	LOC135689044	LOC106881387	LOC110466668	LOC100184138	LOC129964072
OG0004240	LOC121856420	LOC136432453	CG14322	LOC135681280	LOC106882735	LOC110455735	LOC100178710	LOC129983999
OG0004243	LOC121866426	LOC136422831	Shark	LOC135684393	LOC106875391	LOC110463447	LOC100187339	LOC129960250
OG0004244	LOC121869610	LOC136432869	trx	LOC135684381	LOC106883428	LOC110462400	LOC100180972	LOC129983733
OG0004245	LOC121863074	LOC136440232	Usp15-31	LOC135692228	LOC106875249	LOC110453668	LOC100180695	LOC129958478
OG0004246	LOC121868752	LOC136443224	sog	LOC135691196	LOC106870547	LOC110447258	LOC778563	LOC129985332
OG0004248	LOC121871398	LOC136423532	RtGEF	LOC135684738	LOC106874470	LOC110467281	LOC100181029	LOC129957108
OG0004249	LOC121874694	LOC136436329	SAK	LOC135686756	LOC106880620	LOC110445780	LOC100177586	LOC129989304
OG0004250	LOC121855723	LOC136425246	Ptip	LOC135680961	LOC106870975	LOC110459936	LOC100184119	LOC129984393
OG0004253	LOC121857539	LOC136422587	Snap29	LOC135683442	LOC106880272	LOC110455563	LOC100178361	LOC129980586
OG0004256	LOC121865389	LOC136435254	armi	LOC135692529	LOC106881006	LOC110452621	LOC100176075	LOC129989428
OG0004257	LOC121867745	LOC136428846	Myb	LOC135696598	LOC106883872	LOC110459934	LOC100185267	LOC129964238
OG0004258	LOC121878379	LOC136448563	AGO3	LOC135696781	LOC106871663	LOC110461128	LOC100181639	LOC129966080
OG0004259	LOC121869994	LOC136439639	dco	LOC135691839	LOC106874451	LOC110464198	LOC100176854	LOC129984129
OG0004260	LOC121875029	LOC136441488	alpha-Man-Ib	LOC135693399	LOC106884360	LOC110447565	LOC100182098	LOC129958786
OG0004263	LOC121854691	LOC136423797	E2f1	LOC135689372	LOC106883944	LOC110465804	e2f1/2/3/6	LOC129960495
OG0004264	LOC121854993	LOC136447825	CG8149	LOC135682757	LOC106869650	LOC110451816	LOC100180701	LOC129957538
OG0004265	LOC121866151	LOC136420573	Elk	LOC135681562	LOC106880510	LOC110449254	LOC104266010	LOC129961908
OG0004266	LOC121855325	LOC136433712	CG3368	LOC135694806	LOC106875370	LOC110445988	LOC100178747	LOC129957028
OG0004267	LOC121855710	LOC136422680	CG3294	LOC135684912	LOC106873830	LOC110446207	zf_c3h_-13	LOC129969396
OG0004269	LOC121876066	LOC136424143	CG7011	LOC135690137	LOC106868763	LOC110446911	LOC100187059	LOC129972988
OG0004270	LOC121858329	LOC136423856	Rab32	LOC135689383	LOC106881612	LOC110464903	LOC100178266	LOC129966575
OG0004271	LOC121872968	LOC136429829	Fign	LOC135696009	LOC106871319	LOC110452070	LOC100184880	LOC129975747
OG0004272	LOC121860913	LOC136434499	Gp93	LOC135692628	LOC106876272	LOC110461697	LOC100187454	LOC129984500
OG0004274	LOC121864489	LOC136422058	sotv	LOC135681776	LOC106868410	LOC110451580	LOC100176235	LOC129960529
OG0004275	LOC121867699	LOC136445709	bigmax	LOC135691191	LOC128248719	LOC110467048	tf4	LOC129960089
OG0004276	LOC121869083	LOC136434071	DAAM	LOC135685885	LOC106880744	LOC110459581	LOC100184055	LOC129960184
OG0004278	LOC121855429	LOC136433391	pho	LOC135690605	LOC106877161	LOC110463499	zf_c2h2_-66	LOC129958321
OG0004280	LOC121854242	LOC136432533	CG6171	LOC135692570	LOC106880547	LOC110450416	LOC100183681	LOC129971268
OG0004281	LOC121871436	LOC136428251	Hacd2	LOC135687159	LOC106882568	LOC110445680	LOC100175762	LOC129984550
OG0004283	LOC121855406	LOC136444499	MED26	LOC135694937	LOC106868293	LOC110456023	LOC100183822	LOC129960195
OG0004284	LOC121855467	LOC136432844	CG4281	LOC135681448	LOC106872002	LOC110464297	LOC100186379	LOC129959478
OG0004290	LOC121860924	LOC136433037	Paf-AHalpha	LOC135695523	LOC106875576	LOC110464837	LOC100178157	LOC129957211
OG0004291	LOC121862331	LOC136444556	Fdx1	LOC135695165	LOC106869397	LOC110467157	LOC100175842	LOC129959658
OG0004293	LOC121866482	LOC136440797	Cpr	LOC135691171	LOC106869693	LOC110463152	LOC100175298	LOC129966176
OG0004296	LOC121865486	LOC136438049	Spg7	LOC135690686	LOC106871107	LOC110457513	LOC100181644	LOC129988068
OG0004297	LOC121865641	LOC136439718	CG5439	LOC135692289	LOC106876949	LOC110447377	LOC100181228	LOC129984277
OG0004299	LOC121868771	LOC136421406	Cortactin	LOC135681230	LOC106883799	LOC110456910	LOC100181253	LOC129963229
OG0004301	LOC121871404	LOC136420473	La	LOC135681718	LOC106870751	LOC110461614	LOC100184543	LOC129962051
OG0004303	LOC121877846	LOC136449028	Pten	LOC135681007	LOC106873013	LOC110464227	LOC100182434	LOC129980973
OG0004304	LOC121875444	LOC136424214	Spf30	LOC135690060	LOC106875499	LOC110445363	LOC100182397	LOC129957183
OG0004305	LOC121877847	LOC136421160	Ubc7	LOC135681537	LOC106882797	LOC110461168	LOC100182919	LOC129963830
OG0004307	LOC121878947	LOC136421437	SmE	LOC135683700	LOC106877797	LOC110450728	LOC100177310	LOC129989170
OG0004308	LOC121876464	LOC136447430	CG34039	LOC135691122	LOC106875317	LOC110458756	LOC100187497	LOC129958777
OG0004309	LOC121853729	LOC136447012	CG12106	LOC135682834	LOC106871727	LOC110463471	LOC100179702	LOC129984482
OG0004310	LOC121876826	LOC136433790	wdb	LOC135684590	LOC106876669	LOC110447435	LOC100182920	LOC129961738
OG0004311	LOC121854703	LOC136433786	wrd	LOC135694587	LOC106870596	LOC110443252	LOC100176996	LOC129983695
OG0004312	LOC121858530	LOC136427514	CG10793	LOC135687217	LOC106867330	LOC110443142	LOC100184384	LOC129963994
OG0004313	LOC121855740	LOC136421225	Kat60	LOC135685328	LOC106879067	LOC110459057	LOC100178737	LOC129963341
OG0004314	LOC121863514	LOC136427330	Gbeta5	LOC135687407	LOC106875358	LOC110451188	LOC100185742	LOC129957693
OG0004315	LOC121856797	LOC136443967	Gbeta13F	LOC135688269	LOC106878845	LOC110461099	LOC100182745	LOC129967105
OG0004316	LOC121857074	LOC136443501	Dis3l2	LOC135689007	LOC106873906	LOC110441880	LOC100176646	LOC129971503
OG0004317	LOC121870743	LOC136437466	Dis3	LOC135686398	LOC106881652	LOC110461923	LOC100187471	LOC129963043
OG0004319	LOC121879505	LOC136430387	alpha-Cat	LOC135695906	LOC106881031	LOC110455392	LOC100177963	LOC129984305
OG0004320	LOC121860416	LOC136428232	Dbp45A	LOC135693866	LOC106878420	LOC110454242	LOC100187445	LOC129981371
OG0004321	LOC121857393	LOC136439955	pths	LOC135692121	LOC106873502	LOC110465608	LOC100186483	LOC129958592
OG0004322	LOC121873725	LOC136427963	CG15160	LOC135687028	LOC106873238	LOC110456364	LOC100178865	LOC129969162
OG0004323	LOC121857705	LOC136438910	CG9018	LOC135691045	LOC106879632	LOC110443860	LOC100181755	LOC129984291
OG0004324	LOC121858084	LOC136441477	ath	LOC135691276	LOC106875905	LOC110459079	LOC100185433	LOC129984043
OG0004325	LOC121877531	LOC136442550	l_2_37Cb	LOC135696057	LOC106876964	LOC110441881	LOC100175470	LOC129975736
OG0004327	LOC121876835	LOC136430679	PEK	LOC135696292	LOC106870753	LOC110463950	LOC494391	LOC129958076
OG0004328	LOC121868739	LOC136444623	CG43346	LOC135695151	LOC106874923	LOC110466612	LOC101242807	LOC129968139
OG0004329	LOC121859243	LOC136434325	ND-B17.2	LOC135686505	LOC106878167	LOC110456275	LOC100175455	LOC129967101
OG0004331	LOC121860948	LOC136446627	Pfdn5	LOC135682451	LOC106880473	LOC110465524	LOC100182453	LOC129972181
OG0004332	LOC121873432	LOC136438613	uri	LOC135690709	LOC106874856	LOC110443784	LOC100176104	LOC129961731
OG0004335	LOC121862109	LOC136421587	CHMP2B	LOC135685175	LOC106874374	LOC110455227	LOC100181241	LOC129984179
OG0004336	LOC121873500	LOC136421729	Vps2	LOC135681368	LOC106878828	LOC110467179	LOC100178975	LOC129989227
OG0004338	LOC121870373	LOC136433180	CG8209	LOC135690150	LOC106873369	LOC110455542	LOC100179475	LOC129989221
OG0004339	LOC121875935	LOC136445695	CG8042	LOC135682865	LOC106880343	LOC110465516	LOC101242599	LOC129965923
OG0004340	LOC121872739	LOC136433551	Vti1b	LOC135693256	LOC106868588	LOC110466082	LOC100184004	LOC129985298
OG0004341	LOC121875836	LOC136448381	Vti1a	LOC135689687	LOC106881100	LOC110446547	LOC100185820	LOC129964022
OG0004344	LOC121874218	LOC136436764	ATP8A	LOC135686658	LOC106872891	LOC110449526	LOC100186827	LOC129976229
OG0004345	LOC121879109	LOC136425055	red	LOC135690364	LOC106877698	LOC110466021	LOC100185250	LOC129988545
OG0004346	LOC121876269	LOC136428127	CG17985	LOC135687332	LOC106874452	LOC110462567	LOC100183222	LOC129989073
OG0004349	LOC121872890	LOC136446290	dgt1	LOC135682550	LOC106883726	LOC110443051	LOC100180613	LOC129980715
OG0004351	LOC121857801	LOC136428370	Upf1	LOC135687024	LOC106870284	LOC110465593	LOC100181729	LOC129991128
OG0004352	LOC121876732	LOC136430399	mbc	LOC135695901	LOC106881525	LOC110464388	LOC100176641	LOC129960119
OG0004355	LOC121858670	LOC136423176	CG9915	LOC135684470	LOC106878624	LOC110465280	LOC100187539	LOC129961880
OG0004356	LOC121858782	LOC136421952	RhoGAP68F	LOC135683607	LOC106883793	LOC110441556	LOC100177316	LOC129987476
OG0004359	LOC121880047	LOC136446935	Idh	LOC135680916	LOC106878809	LOC110441767	LOC100184016	LOC129969995
OG0004360	LOC121865224	LOC136436939	Usp12-46	LOC135685935	LOC106877200	LOC110447761	LOC100175951	LOC129960908
OG0004362	LOC121872702	LOC136431976	CG2540	LOC135695447	LOC106882480	LOC110466344	LOC100184553	LOC129966498
OG0004364	LOC121862894	LOC136443400	Gas41	LOC135688084	LOC106875661	LOC110458848	LOC100182070	LOC129972292
OG0004365	LOC121862939	LOC136434135	CG7156	LOC135689792	LOC106867465	LOC110459611	LOC104266356	LOC129984615
OG0004367	LOC121872705	LOC136444502	HDAC3	LOC135692040	LOC106883266	LOC110454413	LOC100178372	LOC129984052
OG0004369	LOC121875650	LOC136433293	Snx6	LOC135687786	LOC106873606	LOC110467081	LOC100179728	LOC129976016
OG0004371	LOC121878582	LOC136422782	Acadvl	LOC135684190	LOC106875659	LOC110463202	LOC100183990	LOC129988380
OG0004372	LOC121872081	LOC136430051	Snx3	LOC135685369	LOC106870004	LOC110465369	LOC100176145	LOC129976088
OG0004373	LOC121876533	LOC136430231	Arl1	LOC135695291	LOC106882866	LOC110442996	LOC100183224	LOC129958303
OG0004374	LOC121877848	LOC136443455	CG16903	LOC135688615	LOC106882358	LOC110458915	LOC113473999	LOC129981724
OG0004376	LOC121879284	LOC136444877	PolE4	LOC135694353	LOC106876082	LOC110454927	LOC100179904	LOC129969190
OG0004378	LOC121854722	LOC136422425	Taf6	LOC135689841	LOC106875417	LOC110462487	LOC100186362	LOC129981667
OG0004379	LOC121857226	LOC136440230	l_2_gl	LOC135691909	LOC106880445	LOC110456778	LOC100177806	LOC129975147
OG0004380	LOC121857475	LOC136443865	Atg8a	LOC135688579	LOC106873160	LOC110462940	LOC100186367	LOC129968579
OG0004384	LOC121864903	LOC136444668	AP-1mu	LOC135694450	LOC106880800	LOC110467148	LOC100175300	LOC129976284
OG0004385	LOC121874320	LOC136437569	Art7	LOC135683566	LOC106869174	LOC110453648	LOC100184941	LOC129971613
OG0004387	LOC121869349	LOC136436306	CG17807	LOC135690641	LOC106878852	LOC110445761	LOC100183670	LOC129976238
OG0004389	LOC121876028	LOC136439853	CG10254	LOC135691553	LOC106868036	LOC110465099	LOC101243326	LOC129968668
OG0004391	LOC121878701	LOC136421433	CrebA	LOC135682341	LOC106880757	LOC110455072	creb/atf-a	LOC129960106
OG0004392	LOC121855574	LOC136425461	rhea	LOC135690253	LOC106872263	LOC110452383	LOC100176155	LOC129975781
OG0004393	LOC121856827	LOC136428392	Sirt6	LOC135687491	LOC106880845	LOC110451501	sir2-d	LOC129957784
OG0004400	LOC121880495	LOC136435447	Ugalt	LOC135685272	LOC106875993	LOC110466272	LOC100184262	LOC129962619
OG0004401	LOC121856357	LOC136433340	Pkc98E	LOC135694533	LOC106875452	LOC110454924	LOC100180034	LOC129958112
