Orthogroup	seaLamprey	zebrafish	brownAnole	chicken	opossum	cow	sheep	ferret	treeShrew	groundSquirrel	deerMouse	grassMouse	labMouse	marmoset	crabMacaque	human
NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL	NRL
CMAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF	MAF
MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA	MAFA
MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB	MAFB
MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF	MAFF
MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG	MAFG
MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK	MAFK
OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1	OTX1
OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2	OTX2
CRX	OTX5	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX	CRX
