	OrganismShortName	OrganismID	OrganismColor	AnnotationSource	SpeciesGroup	CMAF	CRX	MAFA	MAFB	MAFF	MAFG	MAFK	NRL	OTX1	OTX2	nMAFL	nMAFS	nOTX
0	hydra	Hydra_vulgaris	Nonchordates	GCF	invertebrate									hydra__LOC100209084__XP_065655724.1,hydra__LOC100211908__NP_001296697.1,hydra__LOC105846072__XP_065655683.1		0.0	0.0	1.0
1	flameJellyfish	Rhopilema_esculentum	Nonchordates	GCF	invertebrate									flameJellyfish__LOC135681342__XP_065051838.1,flameJellyfish__LOC135681422__XP_065051962.1,flameJellyfish__LOC135681476__XP_065052046.1,flameJellyfish__LOC135681547__XP_065052147.1,flameJellyfish__LOC135681548__XP_065052148.1		0.0	0.0	1.0
2	boxJellyfish	Alatina_alata	Nonchordates	GCF Near														
3	scallop	Mizuhopecten_yessoensis	Nonchordates	GCF	invertebrate	scallop__LOC110466773__XP_021379197.1								scallop__LOC110448536__XP_021350497.1,scallop__LOC110450433__XP_021353636.1,scallop__LOC110452824__XP_021357195.1,scallop__LOC110454873__XP_021360300.1		1.0	0.0	1.0
4	octopus	Octopus_bimaculoides	Nonchordates	GCF	invertebrate	octopus__LOC106877814__XP_014782317.1								octopus__LOC106873941__NP_001310717.1,octopus__LOC106877685__XP_014782118.1,octopus__LOC106879885__XP_052832725.1,octopus__LOC106883503__XP_014790018.1		1.0	0.0	1.0
5	hawaiianSquid	Euprymna_scolopes	Nonchordates	GCA														
6	reefSquid	Sepioteuthis_sepioidea	Nonchordates	NoGenome														
7	tardigrade	Paramacrobiotus_metropolitanus	Nonchordates	GCF	invertebrate	tardigrade__LOC129584033__XP_055332096.1								tardigrade__LOC129584993__XP_055333443.1,tardigrade__LOC129586666__XP_055335966.1,tardigrade__LOC129589245__XP_055339840.1,tardigrade__LOC129598308__XP_055352121.1		1.0	0.0	1.0
8	spider	Habronattus_gilaensis	Nonchordates	NoGenome														
9	norwayLobster	Nephrops_norvegicus	Nonchordates	GCF Near														
10	americanLobster	Homarus_americanus	Nonchordates	GCF	invertebrate					americanLobster__LOC121867327__XP_042223182.1				americanLobster__LOC121854528__XP_042205135.1,americanLobster__LOC121854966__XP_042205720.1,americanLobster__LOC121878533__XP_042240735.1,americanLobster__LOC121879871__XP_042242588.1		0.0	1.0	1.0
11	drosophila	Drosophila_melanogaster	Nonchordates	GCF	invertebrate	drosophila__tj__NP_001260582.1				drosophila__maf-S__NP_001286639.1				drosophila__Drgx__NP_001097075.2,drosophila__PHDP__NP_523834.1,drosophila__oc__NP_001356934.1		1.0	1.0	1.0
12	plastererBee	Colletes_gigas	Nonchordates	GCF	invertebrate	plastererBee__LOC122403542__XP_043263048.1				plastererBee__LOC122396420__XP_043250725.1				plastererBee__LOC122399734__XP_043256577.1,plastererBee__LOC122399790__XP_043256686.1,plastererBee__LOC122401243__XP_043259183.1,plastererBee__LOC122403419__XP_043262867.1		1.0	1.0	1.0
13	acornWorm	Saccoglossus_kowalevskii	Nonchordates	GCF	invertebrate	acornWorm__maf-like__NP_001164706.1								acornWorm__Dmbx__NP_001161526.1,acornWorm__LOC100369471__XP_002735289.1,acornWorm__LOC102804715__XP_006821810.1,acornWorm__PHox2__NP_001164681.1,acornWorm__drgx__NP_001158481.1,acornWorm__otx__NP_001158360.1		1.0	0.0	1.0
14	seaurchin	Lytechinus_variegatus	Nonchordates	GCF	invertebrate									seaurchin__LOC121407968__XP_041455186.1,seaurchin__LOC121418261__XP_041467961.1,seaurchin__LOC121431990__XP_041485726.1,seaurchin__LOC121432035__XP_041485789.1		0.0	0.0	1.0
15	echinoderm	Anneissia_japonica	Nonchordates	GCF	invertebrate	echinoderm__LOC117114910__XP_033114416.1								echinoderm__LOC117104664__XP_033101438.1,echinoderm__LOC117107729__XP_033105362.1,echinoderm__LOC117117484__XP_033117682.1,echinoderm__LOC117119230__XP_033119929.1		1.0	0.0	1.0
16	amphioxus	Branchiostoma_floridae	Protochordates	GCF	invertebrate	amphioxus__LOC136438471__XP_066289367.1								amphioxus__LOC136433338__XP_066281542.1,amphioxus__LOC136436046__XP_066285834.1,amphioxus__LOC136448406__XP_066303959.1,amphioxus__LOC136449157__XP_066305108.1		1.0	0.0	1.0
17	vaseTunicate	Ciona_intestinalis	Protochordates	GCF	invertebrate					vaseTunicate__LOC778757__NP_001071818.1				vaseTunicate__LOC100178876__XP_002119140.1,vaseTunicate__otx2__NP_001027662.2,vaseTunicate__phox2__NP_001037829.1		0.0	1.0	1.0
18	seaSquirt	Styela_clava	Protochordates	GCF	invertebrate					seaSquirt__LOC120331304__XP_039254309.1,seaSquirt__LOC120347869__XP_039273915.1				seaSquirt__LOC120326315__XP_039248511.1,seaSquirt__LOC120331221__XP_039254229.1,seaSquirt__LOC120341627__XP_039266104.1,seaSquirt__LOC120348055__XP_039274099.1		0.0	1.0	1.0
19	atlanticHagfish	Myxine_glutinosa	Agnathans (hagfish and lampreys)	GCF														
20	broadgilledHagfish	Eptatretus_cirrhatus	Agnathans (hagfish and lampreys)	NoGenome														
21	pouchedLamprey	Geotria_australis	Agnathans (hagfish and lampreys)	GCA														
22	shortheadLamprey	Mordacia_mordax	Agnathans (hagfish and lampreys)	GCA														
23	seaLamprey	Petromyzon_marinus	Agnathans (hagfish and lampreys)	GCF														
24	fareasternBrookLamprey	Lethenteron_reissneri	Agnathans (hagfish and lampreys)	GCF														
25	arcticLamprey	Lethenteron_camtschaticum	Agnathans (hagfish and lampreys)	GCF Near														
26	bluespottedStingray	Neotrygon_kuhlii	Cartilaginous fishes	GCF Near														
27	redStingray	Hemitrygon_akajei	Cartilaginous fishes	GCF	fish	redStingray__LOC140740842__XP_072926494.1		redStingray__mafaa__XP_072904721.1	redStingray__mafba__XP_072918127.1	redStingray__LOC140719078__XP_072889555.1	redStingray__mafga__XP_072882308.1	redStingray__mafk__XP_072917087.1		redStingray__otx1__XP_072907299.1	redStingray__otx2b__XP_072896008.1	3.0	3.0	2.0
28	catshark	Scyliorhinus_torazame	Cartilaginous fishes	GCF	fish	catshark__mafa__XP_072373938.1	catshark__LOC140402323__XP_072346133.1	catshark__mafaa__XP_072324324.1	catshark__LOC140428545__XP_072371246.1	catshark__LOC140403927__XP_072348285.1	catshark__LOC140395576__XP_072339627.1	catshark__mafk__XP_072337129.1		catshark__otx1__XP_072363412.1	catshark__otx2b__XP_072345682.1	3.0	3.0	3.0
29	reefShark	Carcharhinus_amblyrhynchos	Cartilaginous fishes	GCF Near														
30	bambooShark	Chiloscyllium_punctatum	Cartilaginous fishes	GCF	fish	bambooShark__mafa__XP_072451968.1	bambooShark__LOC140454601__XP_072405569.1	bambooShark__mafaa__XP_072426116.1	bambooShark__LOC140462900__XP_072412445.1	bambooShark__LOC140488943__XP_072444262.1	bambooShark__LOC140464029__XP_072414753.1	bambooShark__mafk__XP_072415341.1		bambooShark__otx1__XP_072437691.1	bambooShark__otx2b__XP_072424894.1	3.0	3.0	3.0
31	nurseShark	Ginglymostoma_cirratum	Cartilaginous fishes	GCF Near														
32	zebraShark	Stegostoma_tigrinum	Cartilaginous fishes	GCF	fish	zebraShark__LOC125460078__XP_048403134.2	zebraShark__LOC125447748__XP_048378383.1	zebraShark__mafaa__XP_048385419.1	zebraShark__LOC125461481__XP_048406268.1	zebraShark__LOC125447181__XP_048377337.1	zebraShark__LOC125463828__XP_048411544.1	zebraShark__mafk__XP_048408027.1		zebraShark__otx1__XP_048391779.1	zebraShark__otx2b__XP_048394529.1	3.0	3.0	3.0
33	whaleShark	Rhincodon_typus	Cartilaginous fishes	GCF	fish	whaleShark__mafa__XP_048462041.1	whaleShark__LOC109936750__XP_048474331.1	whaleShark__LOC109920499__XP_020376119.1	whaleShark__LOC109915489__XP_048464344.1	whaleShark__LOC109925329__XP_048473543.1	whaleShark__LOC125481030__XP_048466689.1	whaleShark__mafk__XP_020382141.1		whaleShark__otx1__XP_048457470.1	whaleShark__otx2b__XP_020382934.1	3.0	3.0	3.0
34	bowfin	Amia_calva	Non-teleost ray-finned fishes	GCF Near														
35	spottedGar	Lepisosteus_oculatus	Non-teleost ray-finned fishes	GCF	fish	spottedGar__mafa__XP_006641197.2	spottedGar__LOC102686928__XP_069042592.1	spottedGar__mafaa__XP_069047236.1	spottedGar__mafba__XP_006639587.2	spottedGar__maff__XP_069053156.1	spottedGar__mafgb__XP_006635210.2	spottedGar__mafk__XP_015215295.1	spottedGar__nrl__XP_069044909.1	spottedGar__otx1__XP_006638669.2	spottedGar__otx2b__XP_006632284.1	3.0	3.0	3.0
36	floridaGar	Lepisosteus_platyrhincus	Non-teleost ray-finned fishes	GCF Near														
37	eel	Gymnothorax_saxicola	Teleost ray-finned fishes	NoGenome														
38	zebrafish	Danio_rerio	Teleost ray-finned fishes	GCF	teleost	zebrafish__mafa__XP_021323247.1,zebrafish__mafb__NP_001303598.2	zebrafish__crx__NP_694419.1	zebrafish__mafaa__NP_001076409.1	zebrafish__mafba__NP_571090.2	zebrafish__maff__NP_956630.1	zebrafish__mafga__XP_021325832.2,zebrafish__mafgb__XP_005169479.2	zebrafish__mafk__XP_005164260.1	zebrafish__nrl__NP_001035421.1	zebrafish__otx1__NP_571325.2	zebrafish__otx2a__NP_571290.1,zebrafish__otx5__NP_851848.2	3.0	3.0	3.0
