OrganismShortName	SpeciesGroup	GeneGroup	ProteinID
blindMoleRat	mammal	CMAF	blindMoleRat__Maf__XP_008833613.2
brownRat	mammal	CMAF	brownRat__Maf__NP_062191.2
cat	mammal	CMAF	cat__MAF__XP_023101135.2
cow	mammal	CMAF	cow__MAF__XP_059733001.1
crabMacaque	mammal	CMAF	crabMacaque__MAF__XP_005592920.2
daubentonBat	mammal	CMAF	daubentonBat__MAF__XP_059523362.1
deerMouse	mammal	CMAF	deerMouse__Maf__XP_076428302.1
dog	mammal	CMAF	dog__MAF__XP_038394157.1
egyptianBat	mammal	CMAF	egyptianBat__MAF__XP_016007494.2
europeanHedgehog	mammal	CMAF	europeanHedgehog__MAF__XP_060041113.1
ferret	mammal	CMAF	ferret__MAF__XP_004754127.3
gerbil	mammal	CMAF	gerbil__Maf__XP_060247904.1
grassMouse	mammal	CMAF	grassMouse__Maf__Maf-T1
guineapig	mammal	CMAF	guineapig__Maf__XP_013000126.2
hamster	mammal	CMAF	hamster__Maf__XP_040592400.1
horse	mammal	CMAF	horse__MAF__XP_014593763.2
human	mammal	CMAF	human__MAF__NP_005351.2
labMouse	mammal	CMAF	labMouse__Maf__NP_001020748.2
marmoset	mammal	CMAF	marmoset__MAF__XP_002761235.1
minkeWhale	mammal	CMAF	minkeWhale__MAF__XP_057389759.1
nancymaMonkey	mammal	CMAF	nancymaMonkey__MAF__XP_021526730.2
oliveBaboon	mammal	CMAF	oliveBaboon__MAF__XP_003917264.3
opossum	mammal	CMAF	opossum__MAF__XP_016284180.1
pig	mammal	CMAF	pig__MAF__XP_020952724.1
platypus	mammal	CMAF	platypus__MAF__XP_028908667.1
rhesusMacaque	mammal	CMAF	rhesusMacaque__MAF__XP_014982165.2
roundleafBat	mammal	CMAF	roundleafBat__MAF__XP_019490287.1
sacwingedBat	mammal	CMAF	sacwingedBat__MAF__XP_066098959.1
sandRat	mammal	CMAF	sandRat__Maf__XP_055477398.1
sheep	mammal	CMAF	sheep__MAF__XP_027833450.2
treeShrew	mammal	CMAF	treeShrew__MAF__TSDBTID.15625.1
