OrganismShortName	OrganismID	OrganismColor	AnnotationSource	ProteinSource	CMAF	NRL	MAFA	MAFB	MAFF	MAFG	MAFK	OTX1	OTX2	CRX
hydra	Hydra_vulgaris	Nonchordates	GCF	Annotated								hydra__LOC100211908__NP_001296697.1,hydra__LOC105846072__XP_065655683.1,hydra__LOC100209084__XP_065655724.1		
flameJellyfish	Rhopilema_esculentum	Nonchordates	GCF	Annotated								flameJellyfish__LOC135681342__XP_065051838.1,flameJellyfish__LOC135681422__XP_065051962.1,flameJellyfish__LOC135681476__XP_065052046.1,flameJellyfish__LOC135681548__XP_065052148.1,flameJellyfish__LOC135681547__XP_065052147.1		
boxJellyfish	Alatina_alata	Nonchordates	GCF Near	Denovo	boxJellyfish__Unknown__TRINITY_DN1602_c0_g1_i1.p1				boxJellyfish__Unknown__TRINITY_DN2902_c0_g1_i2.p2			boxJellyfish__Unknown__TRINITY_DN17724_c0_g2_i1.p1,boxJellyfish__Unknown__TRINITY_DN10265_c0_g6_i2.p1,boxJellyfish__Unknown__TRINITY_DN4364_c0_g1_i7.p1,boxJellyfish__Unknown__TRINITY_DN3609_c0_g1_i1.p1,boxJellyfish__Unknown__TRINITY_DN1802_c0_g1_i7.p1,boxJellyfish__Unknown__TRINITY_DN5166_c0_g1_i2.p1,boxJellyfish__Unknown__TRINITY_DN8681_c0_g1_i2.p1		
scallop	Mizuhopecten_yessoensis	Nonchordates	GCF	Annotated	scallop__LOC110466773__XP_021379197.1							scallop__LOC110450433__XP_021353636.1		
scallop	Mizuhopecten_yessoensis	Nonchordates	GCF	Denovo	scallop__Unknown__TRINITY_DN657_c0_g1_i1.p1				scallop__Unknown__TRINITY_DN8509_c0_g1_i1.p1			scallop__Unknown__TRINITY_DN1790_c1_g1_i7.p1,scallop__Unknown__TRINITY_DN13763_c0_g1_i2.p1		
octopus	Octopus_bimaculoides	Nonchordates	GCF	Annotated	octopus__LOC106877814__XP_014782317.1							octopus__LOC106873941__NP_001310717.1		
octopus	Octopus_bimaculoides	Nonchordates	GCF	Denovo	octopus__Unknown__TRINITY_DN5979_c0_g1_i1.p1				octopus__Unknown__TRINITY_DN4225_c0_g1_i2.p1			octopus__Unknown__TRINITY_DN4848_c0_g1_i2.p1		
hawaiianSquid	Euprymna_scolopes	Nonchordates	GCA	Denovo					hawaiianSquid__Unknown__TRINITY_DN14340_c0_g2_i1.p2			hawaiianSquid__Unknown__TRINITY_DN1925_c3_g1_i3.p1		
reefSquid	Sepioteuthis_sepioidea	Nonchordates	NoGenome											
tardigrade	Paramacrobiotus_metropolitanus	Nonchordates	GCF	Annotated	tardigrade__LOC129584033__XP_055332096.1							tardigrade__LOC129584993__XP_055333443.1		
