OrganismShortName	SpeciesGroup	GeneGroup	ProteinID
acornWorm	diverse	MAFL	acornWorm__maf-like__NP_001164706.1
amphioxus	diverse	MAFL	amphioxus__LOC136438471__XP_066289367.1
atlanticHagfish	diverse	MAFL	atlanticHagfish__LOC137434053__XP_067982786.1
atlanticHagfish	diverse	MAFL	atlanticHagfish__LOC137435424__XP_067985302.1
atlanticHagfish	diverse	MAFL	atlanticHagfish__LOC137435426__XP_067985303.1
atlanticHagfish	diverse	MAFL	atlanticHagfish__MAFB__XP_067963301.1
bambooShark	diverse	MAFL	bambooShark__LOC140462900__XP_072412445.1
bambooShark	diverse	MAFL	bambooShark__mafa__XP_072451968.1
bambooShark	diverse	MAFL	bambooShark__mafaa__XP_072426116.1
brownHagfish	diverse	MAFL	brownHagfish__MAFA-1__EA48216.1
brownHagfish	diverse	MAFL	brownHagfish__MAFA-2__EA65597.1
brownHagfish	diverse	MAFL	brownHagfish__MAFB-1__EA13661.1
brownHagfish	diverse	MAFL	brownHagfish__MAFB-2__EA64834.1
brownHagfish	diverse	MAFL	brownHagfish__Unchar_17582__EA67179.1
chicken	diverse	MAFL	chicken__MAFA__NP_990356.1
chicken	diverse	MAFL	chicken__MAFB__NP_001026023.1
chicken	diverse	MAFL	chicken__MAF__XP_015148000.1
echinoderm	diverse	MAFL	echinoderm__LOC117114910__XP_033114416.1
europeanBrookLamprey	diverse	MAFL	europeanBrookLamprey__Dab2ip__LAPLM00000008750
europeanBrookLamprey	diverse	MAFL	europeanBrookLamprey__Ednrb__LAPLM00000007277
europeanBrookLamprey	diverse	MAFL	europeanBrookLamprey__NYX__LAPLM00000016965
europeanRiverLamprey	diverse	MAFL	europeanRiverLamprey__LAFLG00000013462__LAFLM00000013462
europeanRiverLamprey	diverse	MAFL	europeanRiverLamprey__LAFLG00000014203__LAFLM00000014203
fareasternBrookLamprey	diverse	MAFL	fareasternBrookLamprey__LOC133340275__XP_061404356.1
fareasternBrookLamprey	diverse	MAFL	fareasternBrookLamprey__LOC133340276__XP_061404357.1
fareasternBrookLamprey	diverse	MAFL	fareasternBrookLamprey__LOC133350931__XP_061421757.1
fareasternBrookLamprey	diverse	MAFL	fareasternBrookLamprey__LOC133355906__XP_061429306.1
fareasternBrookLamprey	diverse	MAFL	fareasternBrookLamprey__LOC133357956__XP_061432158.1
human	diverse	MAFL	human__MAFA__NP_963883.2
human	diverse	MAFL	human__MAFB__NP_005452.2
human	diverse	MAFL	human__MAF__NP_005351.2
human	diverse	MAFL	human__NRL__NP_001341697.1
inshoreHagfish	diverse	MAFL	inshoreHagfish__mafaa__ENSEBUP00000008485
inshoreHagfish	diverse	MAFL	inshoreHagfish__mafb__ENSEBUP00000017921
northernPike	diverse	MAFL	northernPike__LOC105022181__XP_010888682.1
northernPike	diverse	MAFL	northernPike__mafa__XP_019895967.1
northernPike	diverse	MAFL	northernPike__mafaa__XP_010870766.1
northernPike	diverse	MAFL	northernPike__mafba__XP_019907591.2
northernPike	diverse	MAFL	northernPike__mafbb__XP_010880215.1
northernPike	diverse	MAFL	northernPike__nrl__XP_010870577.1
seaLamprey	diverse	MAFL	seaLamprey__LOC116944233__XP_032813639.2
seaLamprey	diverse	MAFL	seaLamprey__LOC116945741__XP_075925866.1
seaLamprey	diverse	MAFL	seaLamprey__LOC116954108__XP_032830443.2
seaLamprey	diverse	MAFL	seaLamprey__LOC116956089__XP_032833429.2
seaSquirt	diverse	MAFL	seaSquirt__LOC120348197__XP_039274259.1
spottedGar	diverse	MAFL	spottedGar__mafa__XP_006641197.2
spottedGar	diverse	MAFL	spottedGar__mafaa__XP_069047236.1
spottedGar	diverse	MAFL	spottedGar__mafba__XP_006639587.2
spottedGar	diverse	MAFL	spottedGar__nrl__XP_069044909.1
vaseTunicate	diverse	MAFL	vaseTunicate__LOC778664__NP_001071754.1
zebrafish	diverse	MAFL	zebrafish__mafa__XP_021323247.1
zebrafish	diverse	MAFL	zebrafish__mafaa__NP_001076409.1
zebrafish	diverse	MAFL	zebrafish__mafb__NP_001303598.2
zebrafish	diverse	MAFL	zebrafish__mafba__NP_571090.2
zebrafish	diverse	MAFL	zebrafish__mafbb__NP_571917.2
zebrafish	diverse	MAFL	zebrafish__nrl__NP_001035421.1
acornWorm	diverse	MAFS	acornWorm__LOC100374666__XP_002732304.1
amphioxus	diverse	MAFS	amphioxus__LOC136439868__XP_066291614.1
atlanticHagfish	diverse	MAFS	atlanticHagfish__LOC137423368__XP_067966540.1
atlanticHagfish	diverse	MAFS	atlanticHagfish__LOC137426831__XP_067971872.1
bambooShark	diverse	MAFS	bambooShark__LOC140464029__XP_072414753.1
bambooShark	diverse	MAFS	bambooShark__LOC140488943__XP_072444262.1
bambooShark	diverse	MAFS	bambooShark__mafk__XP_072415341.1
brownHagfish	diverse	MAFS	brownHagfish__MAFK__EA42108.1
chicken	diverse	MAFS	chicken__MAFF__XP_046760163.1
chicken	diverse	MAFS	chicken__MAFG__XP_015150912.1
chicken	diverse	MAFS	chicken__MAFK__XP_040503249.1
echinoderm	diverse	MAFS	echinoderm__LOC117122320__XP_033123772.1
europeanBrookLamprey	diverse	MAFS	europeanBrookLamprey__arnt2__LAPLM00000018646
europeanRiverLamprey	diverse	MAFS	europeanRiverLamprey__LAFLG00000013927__LAFLM00000013927
europeanRiverLamprey	diverse	MAFS	europeanRiverLamprey__POLR3C__LAFLM00000001989
fareasternBrookLamprey	diverse	MAFS	fareasternBrookLamprey__LOC133347959__XP_061416707.1
fareasternBrookLamprey	diverse	MAFS	fareasternBrookLamprey__LOC133358736__XP_061433162.1
human	diverse	MAFS	human__MAFF__NP_036455.1
human	diverse	MAFS	human__MAFG__NP_002350.1
human	diverse	MAFS	human__MAFK__NP_002351.1
inshoreHagfish	diverse	MAFS	inshoreHagfish__gene_ENSEBUG00000007623__ENSEBUP00000011918
inshoreHagfish	diverse	MAFS	inshoreHagfish__mafk__ENSEBUP00000020580
northernPike	diverse	MAFS	northernPike__LOC105013039__XP_010872589.1
northernPike	diverse	MAFS	northernPike__maff__XP_010893859.1
northernPike	diverse	MAFS	northernPike__mafgb__XP_028978188.1
northernPike	diverse	MAFS	northernPike__mafk__XP_010872892.1
seaLamprey	diverse	MAFS	seaLamprey__LOC116958264__XP_075908512.1
seaSquirt	diverse	MAFS	seaSquirt__LOC120331304__XP_039254309.1
seaSquirt	diverse	MAFS	seaSquirt__LOC120347869__XP_039273915.1
seaurchin	diverse	MAFS	seaurchin__LOC121422524__XP_041473590.1
spottedGar	diverse	MAFS	spottedGar__maff__XP_069053156.1
spottedGar	diverse	MAFS	spottedGar__mafgb__XP_006635210.2
spottedGar	diverse	MAFS	spottedGar__mafk__XP_015215295.1
vaseTunicate	diverse	MAFS	vaseTunicate__LOC778757__NP_001071818.1
zebrafish	diverse	MAFS	zebrafish__maff__NP_956630.1
zebrafish	diverse	MAFS	zebrafish__mafga__XP_021325832.2
zebrafish	diverse	MAFS	zebrafish__mafgb__XP_005169479.2
zebrafish	diverse	MAFS	zebrafish__mafk__XP_005164260.1
acornWorm	diverse	OTX	acornWorm__otx__NP_001158360.1
amphioxus	diverse	OTX	amphioxus__LOC136433338__XP_066281542.1
atlanticHagfish	diverse	OTX	atlanticHagfish__LOC137428307__XP_067974331.1
atlanticHagfish	diverse	OTX	atlanticHagfish__LOC137435525__XP_067985504.1
atlanticHagfish	diverse	OTX	atlanticHagfish__LOC137437294__XP_067987761.1
atlanticHagfish	diverse	OTX	atlanticHagfish__OTX2__XP_067975279.1
bambooShark	diverse	OTX	bambooShark__LOC140454601__XP_072405569.1
bambooShark	diverse	OTX	bambooShark__otx1__XP_072437691.1
