GeneGroup	Outgroup
CMAF	amphioxus__LOC136438471__XP_066289367.1
NRL	amphioxus__LOC136438471__XP_066289367.1
MAFA	amphioxus__LOC136438471__XP_066289367.1
MAFB	amphioxus__LOC136438471__XP_066289367.1
LargeMAF	drosophila__cnc__NP_001262864.1
MAFF	vaseTunicate__LOC778757__NP_001071818.1
MAFF	seaSquirt__LOC120331304__XP_039254309.0
MAFG	vaseTunicate__LOC778757__NP_001071818.1
MAFG	seaSquirt__LOC120331304__XP_039254309.1
MAFK	vaseTunicate__LOC778757__NP_001071818.1
MAFK	seaSquirt__LOC120347869__XP_039273915.1
SmallMAF	drosophila__cnc__NP_001262864.1
OTX1	vaseTunicate__otx2__NP_001027662.2
OTX1	drosophila__oc__NP_001356934.1
OTX2	vaseTunicate__otx2__NP_001027662.2
OTX2	drosophila__oc__NP_001356934.1
CRX	vaseTunicate__otx2__NP_001027662.2
CRX	drosophila__oc__NP_001356934.1
AllOTX	drosophila__cnc__NP_001262864.1
AllMAF	human__NFE2__NP_001129495.1
AllMAF	drosophila__cnc__NP_001262864.1
