ProteinID	GeneGroup	ProteinLen
boxJellyfishDenovo__Unknown__TRINITY_DN1602_c0_g1_i1.p1	MAFL	260.0
boxJellyfishDenovo__Unknown__TRINITY_DN1602_c0_g1_i1.p1	MAFS	260.0
boxJellyfishDenovo__Unknown__TRINITY_DN35139_c0_g2_i1.p1	OTX	520.0
scallopDenovo__Unknown__TRINITY_DN657_c0_g1_i1.p1	MAFL	293.0
scallopDenovo__Unknown__TRINITY_DN657_c0_g1_i1.p1	MAFS	293.0
scallopDenovo__Unknown__TRINITY_DN5433_c1_g1_i2.p1	OTX	431.0
octopusDenovo__Unknown__TRINITY_DN5979_c0_g1_i1.p1	MAFL	266.0
octopusDenovo__Unknown__TRINITY_DN5979_c0_g1_i1.p1	MAFS	266.0
octopusDenovo__Unknown__TRINITY_DN7217_c0_g2_i2.p1	OTX	372.0
hawaiianSquidDenovo__Unknown__TRINITY_DN14340_c0_g2_i1.p2	MAFL	103.0
hawaiianSquidDenovo__Unknown__TRINITY_DN14340_c0_g2_i1.p2	MAFS	103.0
hawaiianSquidDenovo__Unknown__TRINITY_DN1268_c2_g1_i1.p1	OTX	403.0
reefSquidDenovo__Unknown__TRINITY_DN31639_c0_g1_i1.p1	OTX	122.0
spiderDenovo__Unknown__TRINITY_DN44266_c0_g1_i1.p1	MAFL	346.0
spiderDenovo__Unknown__TRINITY_DN29467_c0_g1_i1.p1	MAFS	142.0
spiderDenovo__Unknown__TRINITY_DN9937_c0_g1_i1.p1	OTX	358.0
norwayLobsterDenovo__Unknown__TRINITY_DN602_c0_g1_i25.p1	MAFL	140.0
norwayLobsterDenovo__Unknown__TRINITY_DN602_c0_g1_i25.p1	MAFS	140.0
norwayLobsterDenovo__Unknown__TRINITY_DN18427_c2_g2_i5.p1	OTX	504.0
drosophilaDenovo__Unknown__TRINITY_DN25296_c0_g1_i2.p1	MAFL	512.0
drosophilaDenovo__Unknown__TRINITY_DN25296_c0_g1_i2.p1	MAFS	512.0
drosophilaDenovo__Unknown__TRINITY_DN284_c0_g1_i5.p1	OTX	588.0
amphioxusDenovo__Unknown__TRINITY_DN2837_c0_g1_i3.p1	MAFL	350.0
amphioxusDenovo__Unknown__TRINITY_DN2837_c0_g1_i3.p1	MAFS	350.0
amphioxusDenovo__Unknown__TRINITY_DN28818_c0_g1_i5.p1	OTX	499.0
vaseTunicateDenovo__Unknown__TRINITY_DN8422_c0_g1_i2.p1	MAFL	430.0
vaseTunicateDenovo__Unknown__TRINITY_DN8422_c0_g1_i2.p1	MAFS	430.0
